[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2410 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:07
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,14.886400,15.235900
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,30.1222
Phi,0.00
Psi,0.00
Z,8.431
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
14.886650, 0.088, 0.0
14.887150, 0.088, 1.0
14.887650, 0.088, 1.0
14.888150, 0.088, 0.0
14.888650, 0.088, 1.0
14.889150, 0.088, 0.0
14.889650, 0.088, 0.0
14.890150, 0.088, 0.0
14.890650, 0.088, 0.0
14.891150, 0.088, 0.0
14.891650, 0.088, 0.0
14.892150, 0.088, 1.0
14.892650, 0.088, 1.0
14.893150, 0.088, 0.0
14.893650, 0.088, 1.0
14.894150, 0.088, 1.0
14.894650, 0.088, 1.0
14.895150, 0.088, 0.0
14.895650, 0.088, 0.0
14.896150, 0.088, 0.0
14.896650, 0.088, 0.0
14.897150, 0.088, 1.0
14.897650, 0.088, 0.0
14.898150, 0.088, 0.0
14.898650, 0.088, 0.0
14.899150, 0.088, 1.0
14.899650, 0.088, 1.0
14.900150, 0.088, 0.0
14.900650, 0.088, 0.0
14.901150, 0.088, 0.0
14.901650, 0.088, 2.0
14.902150, 0.088, 3.0
14.902650, 0.088, 0.0
14.903150, 0.088, 3.0
14.903650, 0.088, 1.0
14.904150, 0.088, 2.0
14.904650, 0.088, 0.0
14.905150, 0.088, 2.0
14.905650, 0.088, 3.0
14.906150, 0.088, 0.0
14.906650, 0.088, 0.0
14.907150, 0.088, 1.0
14.907650, 0.088, 1.0
14.908150, 0.088, 2.0
14.908650, 0.088, 0.0
14.909150, 0.088, 1.0
14.909650, 0.088, 0.0
14.910150, 0.088, 0.0
14.910650, 0.088, 0.0
14.911150, 0.088, 0.0
14.911650, 0.088, 0.0
14.912150, 0.088, 1.0
14.912650, 0.088, 0.0
14.913150, 0.088, 1.0
14.913650, 0.088, 2.0
14.914150, 0.088, 0.0
14.914650, 0.088, 1.0
14.915150, 0.088, 1.0
14.915650, 0.088, 1.0
14.916150, 0.088, 1.0
14.916650, 0.088, 0.0
14.917150, 0.088, 0.0
14.917650, 0.088, 0.0
14.918150, 0.088, 0.0
14.918650, 0.088, 0.0
14.919150, 0.088, 2.0
14.919650, 0.088, 2.0
14.920150, 0.088, 0.0
14.920650, 0.088, 0.0
14.921150, 0.088, 0.0
14.921650, 0.088, 0.0
14.922150, 0.088, 0.0
14.922650, 0.088, 1.0
14.923150, 0.088, 1.0
14.923650, 0.088, 0.0
14.924150, 0.088, 1.0
14.924650, 0.088, 0.0
14.925150, 0.088, 1.0
14.925650, 0.088, 0.0
14.926150, 0.088, 0.0
14.926650, 0.088, 2.0
14.927150, 0.088, 1.0
14.927650, 0.088, 2.0
14.928150, 0.088, 1.0
14.928650, 0.088, 1.0
14.929150, 0.088, 2.0
14.929650, 0.088, 2.0
14.930150, 0.088, 1.0
14.930650, 0.088, 0.0
14.931150, 0.088, 1.0
14.931650, 0.088, 0.0
14.932150, 0.088, 0.0
14.932650, 0.088, 2.0
14.933150, 0.088, 1.0
14.933650, 0.088, 1.0
14.934150, 0.088, 0.0
14.934650, 0.088, 2.0
14.935150, 0.088, 1.0
14.935650, 0.088, 2.0
14.936150, 0.088, 1.0
14.936650, 0.088, 0.0
14.937150, 0.088, 4.0
14.937650, 0.088, 0.0
14.938150, 0.088, 1.0
14.938650, 0.088, 1.0
14.939150, 0.088, 0.0
14.939650, 0.088, 1.0
14.940150, 0.088, 0.0
14.940650, 0.088, 1.0
14.941150, 0.088, 1.0
14.941650, 0.088, 1.0
14.942150, 0.088, 0.0
14.942650, 0.088, 3.0
14.943150, 0.088, 3.0
14.943650, 0.088, 2.0
14.944150, 0.088, 1.0
14.944650, 0.088, 0.0
14.945150, 0.088, 2.0
14.945650, 0.088, 0.0
14.946150, 0.088, 2.0
14.946650, 0.088, 0.0
14.947150, 0.088, 1.0
14.947650, 0.088, 0.0
14.948150, 0.088, 1.0
14.948650, 0.088, 0.0
14.949150, 0.088, 2.0
14.949650, 0.088, 1.0
14.950150, 0.088, 3.0
14.950650, 0.088, 2.0
14.951150, 0.088, 0.0
14.951650, 0.088, 0.0
14.952150, 0.088, 1.0
14.952650, 0.088, 3.0
14.953150, 0.088, 2.0
14.953650, 0.088, 0.0
14.954150, 0.088, 1.0
14.954650, 0.088, 2.0
14.955150, 0.088, 0.0
14.955650, 0.088, 1.0
14.956150, 0.088, 6.0
14.956650, 0.088, 0.0
14.957150, 0.088, 1.0
14.957650, 0.088, 3.0
14.958150, 0.088, 1.0
14.958650, 0.088, 5.0
14.959150, 0.088, 1.0
14.959650, 0.088, 2.0
14.960150, 0.088, 2.0
14.960650, 0.088, 3.0
14.961150, 0.088, 1.0
14.961650, 0.088, 2.0
14.962150, 0.088, 1.0
14.962650, 0.088, 1.0
14.963150, 0.088, 3.0
14.963650, 0.088, 5.0
14.964150, 0.088, 3.0
14.964650, 0.088, 1.0
14.965150, 0.088, 1.0
