Created as New Dataset, , 
nm, A, 
535.0, 2.8473, 
534.0, 3.1105, 
533.0, 2.5974, 
532.0, 3.8872, 
531.0, 2.6212, 
530.0, 2.6842, 
529.0, 2.6316, 
528.0, 2.7557, 
527.0, 2.5528, 
526.0, 2.3877, 
525.0, 3.1072, 
524.0, 2.5820, 
523.0, 2.8239, 
522.0, 10.0000, 
521.0, 2.5322, 
520.0, 2.5142, 
519.0, 2.9550, 
518.0, 2.4536, 
517.0, 3.0729, 
516.0, 2.4114, 
515.0, 2.8658, 
514.0, 3.5879, 
513.0, 3.0434, 
512.0, 10.0000, 
511.0, 3.3481, 
510.0, 10.0000, 
509.0, 10.0000, 
508.0, 10.0000, 
507.0, 10.0000, 
506.0, 10.0000, 
505.0, 10.0000, 
504.0, 10.0000, 
503.0, 10.0000, 
502.0, 10.0000, 
501.0, 10.0000, 
500.0, 10.0000, 
499.0, 10.0000, 
498.0, 10.0000, 
497.0, 10.0000, 
496.0, 10.0000, 
495.0, 10.0000, 
494.0, 10.0000, 
493.0, 10.0000, 
492.0, 10.0000, 
491.0, 10.0000, 
490.0, 10.0000, 
489.0, 3.2394, 
488.0, 3.5915, 
487.0, 3.2396, 
486.0, 2.6490, 
485.0, 2.6605, 
484.0, 2.3786, 
483.0, 2.2244, 
482.0, 2.1432, 
481.0, 2.1654, 
480.0, 2.2229, 
479.0, 2.1836, 
478.0, 2.3942, 
477.0, 2.3323, 
476.0, 2.3374, 
475.0, 2.4761, 
474.0, 2.4836, 
473.0, 2.4822, 
472.0, 2.3945, 
471.0, 2.8306, 
470.0, 3.5707, 
469.0, 2.6161, 
468.0, 3.0925, 
467.0, 3.3263, 
466.0, 3.3260, 
465.0, 10.0000, 
464.0, 3.0921, 
463.0, 3.3921, 
462.0, 10.0000, 
461.0, 10.0000, 
460.0, 10.0000, 
459.0, 10.0000, 
458.0, 10.0000, 
457.0, 10.0000, 
456.0, 10.0000, 
455.0, 10.0000, 
454.0, 10.0000, 
453.0, 10.0000, 
452.0, 3.8673, 
451.0, 10.0000, 
450.0, 10.0000, 
449.0, 10.0000, 
448.0, 10.0000, 
447.0, 10.0000, 
446.0, 10.0000, 
445.0, 2.8436, 
444.0, 2.9361, 
443.0, 3.8630, 
442.0, 2.6311, 
441.0, 3.4621, 
440.0, 10.0000, 
439.0, 10.0000, 
438.0, 2.6407, 
437.0, 2.6962, 
436.0, 10.0000, 
435.0, 2.6395, 
434.0, 2.7587, 
433.0, 2.9781, 
432.0, 2.7548, 
431.0, 3.1108, 
430.0, 2.8741, 
429.0, 3.1518, 
428.0, 3.3048, 
427.0, 3.6711, 
426.0, 4.1477, 
425.0, 3.8472, 
424.0, 10.0000, 
423.0, 3.0686, 
422.0, 2.5452, 
421.0, 2.6272, 
420.0, 3.8435, 
419.0, 10.0000, 
418.0, 3.1892, 
417.0, 2.8865, 
416.0, 2.6111, 
415.0, 2.4421, 
414.0, 2.9933, 
413.0, 10.0000, 
412.0, 3.2357, 
411.0, 3.0592, 
410.0, 2.9919, 
409.0, 2.6454, 
408.0, 2.6582, 
407.0, 10.0000, 
406.0, 10.0000, 
405.0, 2.6698, 
404.0, 2.6543, 
403.0, 10.0000, 
402.0, 3.2851, 
401.0, 2.6673, 
400.0, 10.0000, 
