Created as New Dataset, , 
nm, A, 
800.0, 0.2786, 
799.0, 0.2795, 
798.0, 0.2813, 
797.0, 0.2826, 
796.0, 0.2830, 
795.0, 0.2815, 
794.0, 0.2824, 
793.0, 0.2823, 
792.0, 0.2829, 
791.0, 0.2830, 
790.0, 0.2849, 
789.0, 0.2851, 
788.0, 0.2829, 
787.0, 0.2843, 
786.0, 0.2869, 
785.0, 0.2855, 
784.0, 0.2872, 
783.0, 0.2859, 
782.0, 0.2855, 
781.0, 0.2883, 
780.0, 0.2875, 
779.0, 0.2862, 
778.0, 0.2853, 
777.0, 0.2880, 
776.0, 0.2857, 
775.0, 0.2883, 
774.0, 0.2883, 
773.0, 0.2872, 
772.0, 0.2891, 
771.0, 0.2914, 
770.0, 0.2896, 
769.0, 0.2893, 
768.0, 0.2892, 
767.0, 0.2892, 
766.0, 0.2914, 
765.0, 0.2917, 
764.0, 0.2922, 
763.0, 0.2912, 
762.0, 0.2912, 
761.0, 0.2942, 
760.0, 0.2940, 
759.0, 0.2941, 
758.0, 0.2935, 
757.0, 0.2945, 
756.0, 0.2944, 
755.0, 0.2931, 
754.0, 0.2951, 
753.0, 0.2965, 
752.0, 0.2962, 
751.0, 0.2960, 
750.0, 0.2972, 
749.0, 0.2999, 
748.0, 0.2973, 
747.0, 0.2990, 
746.0, 0.2981, 
745.0, 0.3000, 
744.0, 0.3008, 
743.0, 0.2999, 
742.0, 0.3005, 
741.0, 0.2995, 
740.0, 0.3011, 
739.0, 0.3025, 
738.0, 0.3022, 
737.0, 0.3036, 
736.0, 0.3024, 
735.0, 0.3033, 
734.0, 0.3028, 
733.0, 0.3025, 
732.0, 0.3035, 
731.0, 0.3041, 
730.0, 0.3056, 
729.0, 0.3074, 
728.0, 0.3071, 
727.0, 0.3065, 
726.0, 0.3067, 
725.0, 0.3077, 
724.0, 0.3093, 
723.0, 0.3094, 
722.0, 0.3084, 
721.0, 0.3091, 
720.0, 0.3107, 
719.0, 0.3109, 
718.0, 0.3103, 
717.0, 0.3126, 
716.0, 0.3118, 
715.0, 0.3122, 
714.0, 0.3122, 
713.0, 0.3121, 
712.0, 0.3121, 
711.0, 0.3114, 
710.0, 0.3121, 
709.0, 0.3120, 
708.0, 0.3137, 
707.0, 0.3154, 
706.0, 0.3152, 
705.0, 0.3151, 
704.0, 0.3133, 
703.0, 0.3159, 
702.0, 0.3173, 
701.0, 0.3172, 
700.0, 0.3182, 
699.0, 0.3169, 
698.0, 0.3175, 
697.0, 0.3180, 
696.0, 0.3183, 
695.0, 0.3199, 
694.0, 0.3203, 
693.0, 0.3209, 
692.0, 0.3211, 
691.0, 0.3222, 
690.0, 0.3232, 
689.0, 0.3524, 
688.0, 0.3965, 
687.0, 0.3994, 
686.0, 0.4077, 
685.0, 0.4167, 
684.0, 0.4233, 
683.0, 0.4281, 
682.0, 0.4304, 
681.0, 0.4328, 
680.0, 0.4336, 
679.0, 0.4339, 
678.0, 0.4346, 
677.0, 0.4359, 
676.0, 0.4388, 
675.0, 0.4379, 
674.0, 0.4372, 
673.0, 0.4375, 
672.0, 0.4384, 
671.0, 0.4396, 
670.0, 0.4396, 
669.0, 0.4399, 
668.0, 0.4402, 
667.0, 0.4421, 
666.0, 0.4423, 
665.0, 0.4420, 
664.0, 0.4449, 
663.0, 0.4459, 
662.0, 0.4451, 
661.0, 0.4485, 
660.0, 0.4509, 
659.0, 0.4517, 
658.0, 0.4514, 
657.0, 0.4525, 
656.0, 0.4545, 
655.0, 0.4546, 
654.0, 0.4576, 
653.0, 0.4582, 
652.0, 0.4568, 
651.0, 0.4568, 
650.0, 0.4578, 
649.0, 0.4595, 
648.0, 0.4613, 
647.0, 0.4610, 
646.0, 0.4612, 
645.0, 0.4609, 
644.0, 0.4626, 
643.0, 0.4647, 
642.0, 0.4662, 
641.0, 0.4655, 
640.0, 0.4661, 
639.0, 0.4673, 
638.0, 0.4670, 
637.0, 0.4697, 
636.0, 0.4696, 
635.0, 0.4680, 
634.0, 0.4707, 
633.0, 0.4700, 
632.0, 0.4718, 
631.0, 0.4706, 
630.0, 0.4706, 
629.0, 0.4724, 
628.0, 0.4747, 
627.0, 0.4781, 
626.0, 0.4750, 
625.0, 0.4772, 
624.0, 0.4778, 
623.0, 0.4798, 
622.0, 0.4799, 
621.0, 0.4801, 
620.0, 0.4805, 
619.0, 0.4807, 
618.0, 0.4798, 
617.0, 0.4828, 
616.0, 0.4837, 
615.0, 0.4819, 
614.0, 0.4839, 
613.0, 0.4868, 
612.0, 0.4881, 
611.0, 0.4867, 
610.0, 0.4875, 
609.0, 0.4865, 
608.0, 0.4872, 
607.0, 0.4886, 
606.0, 0.4901, 
605.0, 0.4910, 
604.0, 0.4933, 
603.0, 0.4946, 
602.0, 0.4969, 
601.0, 0.4947, 
600.0, 0.4980, 
599.0, 0.4998, 
598.0, 0.4974, 
597.0, 0.5012, 
596.0, 0.5019, 
595.0, 0.5036, 
594.0, 0.5053, 
593.0, 0.5070, 
592.0, 0.5082, 
591.0, 0.5067, 
590.0, 0.5110, 
589.0, 0.5090, 
588.0, 0.5121, 
587.0, 0.5174, 
586.0, 0.5204, 
585.0, 0.5235, 
584.0, 0.5257, 
583.0, 0.5320, 
582.0, 0.5378, 
581.0, 0.5471, 
580.0, 0.5526, 
579.0, 0.5650, 
578.0, 0.5774, 
577.0, 0.5944, 
576.0, 0.6196, 
575.0, 0.6474, 
574.0, 0.6817, 
573.0, 0.7291, 
572.0, 0.7797, 
571.0, 0.8577, 
570.0, 0.9555, 
569.0, 1.0622, 
568.0, 1.2157, 
567.0, 1.3963, 
566.0, 1.6414, 
565.0, 2.0254, 
564.0, 2.5359, 
563.0, 3.4497, 
562.0, 2.6777, 
561.0, 10.0000, 
560.0, 10.0000, 
559.0, 3.1635, 
558.0, 2.8635, 
557.0, 2.8093, 
556.0, 10.0000, 
555.0, 2.4270, 
554.0, 2.8826, 
553.0, 10.0000, 
552.0, 2.5690, 
551.0, 2.9000, 
550.0, 2.5982, 
549.0, 2.9440, 
548.0, 10.0000, 
547.0, 2.7207, 
546.0, 10.0000, 
545.0, 2.5355, 
544.0, 2.5435, 
543.0, 10.0000, 
542.0, 2.6271, 
541.0, 2.8540, 
540.0, 3.0802, 
539.0, 3.8918, 
538.0, 2.5202, 
537.0, 2.5994, 
536.0, 3.4915, 
535.0, 2.6712, 
534.0, 2.9593, 
533.0, 10.0000, 
532.0, 10.0000, 
531.0, 10.0000, 
530.0, 2.8671, 
529.0, 3.1465, 
528.0, 2.5743, 
527.0, 2.4081, 
526.0, 10.0000, 
525.0, 10.0000, 
524.0, 10.0000, 
523.0, 2.9304, 
522.0, 2.9067, 
521.0, 2.6413, 
520.0, 2.5142, 
519.0, 10.0000, 
518.0, 3.8849, 
517.0, 10.0000, 
516.0, 10.0000, 
515.0, 3.0419, 
514.0, 10.0000, 
513.0, 2.7423, 
512.0, 10.0000, 
511.0, 10.0000, 
510.0, 10.0000, 
509.0, 10.0000, 
508.0, 10.0000, 
507.0, 10.0000, 
506.0, 10.0000, 
505.0, 10.0000, 
504.0, 10.0000, 
503.0, 10.0000, 
502.0, 10.0000, 
501.0, 10.0000, 
500.0, 10.0000, 
499.0, 10.0000, 
498.0, 10.0000, 
497.0, 10.0000, 
496.0, 10.0000, 
495.0, 10.0000, 
494.0, 10.0000, 
493.0, 10.0000, 
492.0, 10.0000, 
491.0, 10.0000, 
490.0, 10.0000, 
489.0, 10.0000, 
488.0, 10.0000, 
487.0, 2.7315, 
486.0, 3.4941, 
485.0, 2.8496, 
484.0, 2.6233, 
483.0, 2.2851, 
482.0, 2.3824, 
481.0, 2.1454, 
480.0, 2.2624, 
479.0, 2.6651, 
478.0, 2.6882, 
477.0, 3.7003, 
476.0, 2.5328, 
475.0, 2.5219, 
474.0, 2.7424, 
473.0, 2.9683, 
472.0, 3.1313, 
471.0, 2.9425, 
470.0, 3.3946, 
469.0, 10.0000, 
468.0, 10.0000, 
467.0, 10.0000, 
466.0, 10.0000, 
465.0, 10.0000, 
464.0, 10.0000, 
463.0, 10.0000, 
462.0, 10.0000, 
461.0, 10.0000, 
460.0, 10.0000, 
459.0, 10.0000, 
458.0, 10.0000, 
457.0, 10.0000, 
456.0, 10.0000, 
455.0, 10.0000, 
454.0, 10.0000, 
453.0, 10.0000, 
452.0, 10.0000, 
451.0, 10.0000, 
450.0, 10.0000, 
449.0, 10.0000, 
448.0, 10.0000, 
447.0, 10.0000, 
446.0, 10.0000, 
445.0, 10.0000, 
444.0, 3.2123, 
443.0, 2.6869, 
442.0, 3.5606, 
441.0, 3.2580, 
440.0, 2.9851, 
439.0, 3.3825, 
438.0, 10.0000, 
437.0, 2.7273, 
436.0, 2.6526, 
435.0, 3.0119, 
434.0, 10.0000, 
433.0, 10.0000, 
432.0, 10.0000, 
431.0, 10.0000, 
430.0, 3.1986, 
429.0, 2.9757, 
428.0, 10.0000, 
427.0, 10.0000, 
426.0, 10.0000, 
425.0, 10.0000, 
424.0, 3.6706, 
423.0, 3.0686, 
422.0, 2.8048, 
421.0, 10.0000, 
420.0, 10.0000, 
419.0, 10.0000, 
418.0, 10.0000, 
417.0, 10.0000, 
416.0, 10.0000, 
415.0, 10.0000, 
414.0, 2.7970, 
413.0, 3.2367, 
412.0, 10.0000, 
411.0, 10.0000, 
410.0, 3.1380, 
409.0, 10.0000, 
408.0, 10.0000, 
407.0, 10.0000, 
406.0, 10.0000, 
405.0, 2.7172, 
404.0, 2.7001, 
403.0, 10.0000, 
402.0, 3.8292, 
401.0, 10.0000, 
400.0, 10.0000, 
