,Omega (degree),Intensity,NORM_omega,NORM
61,7.33075,1.0,-0.14250000000000007,0.0003198976327575176
62,7.33125,5.0,-0.14200000000000035,0.001599488163787588
63,7.33175,0.0,-0.14149999999999974,0.0
64,7.33225,1.0,-0.14100000000000001,0.0003198976327575176
65,7.33275,0.0,-0.1405000000000003,0.0
66,7.33325,1.0,-0.14000000000000057,0.0003198976327575176
67,7.33375,1.0,-0.13949999999999996,0.0003198976327575176
68,7.33425,2.0,-0.13900000000000023,0.0006397952655150352
69,7.33475,0.0,-0.1385000000000005,0.0
70,7.33525,0.0,-0.1379999999999999,0.0
71,7.33575,0.0,-0.13750000000000018,0.0
72,7.33625,3.0,-0.13700000000000045,0.0009596928982725527
73,7.33675,0.0,-0.13649999999999984,0.0
74,7.33725,0.0,-0.13600000000000012,0.0
75,7.33775,2.0,-0.1355000000000004,0.0006397952655150352
76,7.33825,2.0,-0.1349999999999998,0.0006397952655150352
77,7.33875,3.0,-0.13450000000000006,0.0009596928982725527
78,7.33925,1.0,-0.13400000000000034,0.0003198976327575176
79,7.33975,0.0,-0.13349999999999973,0.0
80,7.34025,1.0,-0.133,0.0003198976327575176
81,7.34075,1.0,-0.13250000000000028,0.0003198976327575176
82,7.34125,0.0,-0.13200000000000056,0.0
83,7.34175,0.0,-0.13149999999999995,0.0
84,7.34225,0.0,-0.13100000000000023,0.0
85,7.34275,3.0,-0.1305000000000005,0.0009596928982725527
86,7.34325,0.0,-0.1299999999999999,0.0
87,7.34375,0.0,-0.12950000000000017,0.0
88,7.34425,2.0,-0.12900000000000045,0.0006397952655150352
89,7.34475,2.0,-0.12849999999999984,0.0006397952655150352
90,7.34525,0.0,-0.1280000000000001,0.0
91,7.34575,1.0,-0.1275000000000004,0.0003198976327575176
92,7.34625,3.0,-0.12699999999999978,0.0009596928982725527
93,7.34675,1.0,-0.12650000000000006,0.0003198976327575176
94,7.34725,0.0,-0.12600000000000033,0.0
95,7.34775,2.0,-0.1255000000000006,0.0006397952655150352
96,7.34825,0.0,-0.125,0.0
97,7.34875,1.0,-0.12450000000000028,0.0003198976327575176
98,7.34925,1.0,-0.12400000000000055,0.0003198976327575176
99,7.34975,2.0,-0.12349999999999994,0.0006397952655150352
100,7.35025,4.0,-0.12300000000000022,0.0012795905310300703
101,7.35075,1.0,-0.1225000000000005,0.0003198976327575176
102,7.35125,0.0,-0.12199999999999989,0.0
103,7.35175,1.0,-0.12150000000000016,0.0003198976327575176
104,7.35225,2.0,-0.12100000000000044,0.0006397952655150352
105,7.35275,0.0,-0.12049999999999983,0.0
106,7.35325,3.0,-0.1200000000000001,0.0009596928982725527
107,7.35375,0.0,-0.11950000000000038,0.0
108,7.35425,0.0,-0.11899999999999977,0.0
109,7.35475,0.0,-0.11850000000000005,0.0
110,7.35525,0.0,-0.11800000000000033,0.0
111,7.35575,1.0,-0.1175000000000006,0.0003198976327575176
112,7.35625,0.0,-0.11699999999999999,0.0
113,7.35675,2.0,-0.11650000000000027,0.0006397952655150352
114,7.35725,1.0,-0.11600000000000055,0.0003198976327575176
115,7.35775,0.0,-0.11549999999999994,0.0
116,7.35825,1.0,-0.11500000000000021,0.0003198976327575176
117,7.35875,1.0,-0.11450000000000049,0.0003198976327575176
118,7.35925,0.0,-0.11399999999999988,0.0
119,7.35975,0.0,-0.11350000000000016,0.0
120,7.36025,3.0,-0.11300000000000043,0.0009596928982725527
121,7.36075,1.0,-0.11249999999999982,0.0003198976327575176
122,7.36125,0.0,-0.1120000000000001,0.0
123,7.36175,0.0,-0.11150000000000038,0.0
124,7.36225,2.0,-0.11099999999999977,0.0006397952655150352
125,7.36275,4.0,-0.11050000000000004,0.0012795905310300703
126,7.36325,2.0,-0.11000000000000032,0.0006397952655150352
127,7.36375,3.0,-0.1095000000000006,0.0009596928982725527
128,7.36425,2.0,-0.10899999999999999,0.0006397952655150352
129,7.36475,1.0,-0.10850000000000026,0.0003198976327575176
130,7.36525,4.0,-0.10800000000000054,0.0012795905310300703
131,7.36575,4.0,-0.10749999999999993,0.0012795905310300703
132,7.36625,5.0,-0.1070000000000002,0.001599488163787588
133,7.36675,4.0,-0.10650000000000048,0.0012795905310300703
134,7.36725,2.0,-0.10599999999999987,0.0006397952655150352
135,7.36775,0.0,-0.10550000000000015,0.0
136,7.36825,2.0,-0.10500000000000043,0.0006397952655150352
137,7.36875,1.0,-0.10449999999999982,0.0003198976327575176
138,7.36925,2.0,-0.10400000000000009,0.0006397952655150352
139,7.36975,1.0,-0.10350000000000037,0.0003198976327575176
140,7.37025,0.0,-0.10299999999999976,0.0
141,7.37075,2.0,-0.10250000000000004,0.0006397952655150352
142,7.37125,1.0,-0.10200000000000031,0.0003198976327575176
143,7.37175,2.0,-0.10150000000000059,0.0006397952655150352
144,7.37225,1.0,-0.10099999999999998,0.0003198976327575176
145,7.37275,3.0,-0.10050000000000026,0.0009596928982725527
146,7.37325,1.0,-0.10000000000000053,0.0003198976327575176
147,7.37375,1.0,-0.09949999999999992,0.0003198976327575176
148,7.37425,3.0,-0.0990000000000002,0.0009596928982725527
149,7.37475,3.0,-0.09850000000000048,0.0009596928982725527
150,7.37525,2.0,-0.09799999999999986,0.0006397952655150352
151,7.37575,1.0,-0.09750000000000014,0.0003198976327575176
152,7.37625,0.0,-0.09700000000000042,0.0
153,7.37675,0.0,-0.09649999999999981,0.0
154,7.37725,1.0,-0.09600000000000009,0.0003198976327575176
155,7.37775,1.0,-0.09550000000000036,0.0003198976327575176
156,7.37825,0.0,-0.09499999999999975,0.0
157,7.37875,1.0,-0.09450000000000003,0.0003198976327575176
158,7.37925,1.0,-0.0940000000000003,0.0003198976327575176
159,7.37975,4.0,-0.09350000000000058,0.0012795905310300703
160,7.38025,3.0,-0.09299999999999997,0.0009596928982725527
161,7.38075,1.0,-0.09250000000000025,0.0003198976327575176
162,7.38125,2.0,-0.09200000000000053,0.0006397952655150352
163,7.38175,1.0,-0.09149999999999991,0.0003198976327575176
164,7.38225,2.0,-0.09100000000000019,0.0006397952655150352
165,7.38275,4.0,-0.09050000000000047,0.0012795905310300703
166,7.38325,1.0,-0.08999999999999986,0.0003198976327575176
167,7.38375,0.0,-0.08950000000000014,0.0
168,7.38425,6.0,-0.08900000000000041,0.0019193857965451055
169,7.38475,0.0,-0.0884999999999998,0.0
