Time (s),Current (A),Voltage (V)
1.2166186000004018,1.388893e-07,0.998054
1.658760600000278,1.436178e-07,0.998054
2.1734178999995493,1.483922e-07,0.9980537
2.677679299999909,1.524978e-07,0.9980536
3.1786313000002338,1.560812e-07,0.9980528
3.683489799999734,1.593079e-07,0.9980539
4.19849720000002,1.62269e-07,0.9980535
4.70046579999962,1.648564e-07,0.9980521
5.201549100000193,1.672319e-07,0.9980536
5.713428199999726,1.694841e-07,0.9980537
6.214555599999585,1.71557e-07,0.9980542
6.727501299999858,1.735371e-07,0.9980536
7.243863400000009,1.754288e-07,0.9980544
7.746437300000252,1.771784e-07,0.9980533
8.261211099999855,1.78862e-07,0.9980543
8.764011999999639,1.804815e-07,0.9980537
9.276361899999756,1.820974e-07,0.9980531
9.77864260000024,1.836004e-07,0.9980535
10.29379439999957,1.850754e-07,0.9980531
10.807734099999834,1.865285e-07,0.9980533
11.324159400000099,1.879137e-07,0.9980541
11.828191999999945,1.892547e-07,0.9980527
12.342146099999809,1.905765e-07,0.9980527
12.855554099999608,1.918842e-07,0.9980536
13.356711399999767,1.931488e-07,0.998054
13.87030760000016,1.944169e-07,0.9980525
14.385381600000073,1.956548e-07,0.9980535
14.889125499999864,1.968397e-07,0.9980521
15.390171199999713,1.979824e-07,0.9980534
15.89438599999994,1.991071e-07,0.9980527
16.39781529999982,2.002072e-07,0.9980535
16.902618099999927,2.013034e-07,0.9980533
17.417591800000082,2.023823e-07,0.9980531
17.93245560000014,2.034276e-07,0.9980537
18.445340399999623,2.044684e-07,0.9980514
18.949938900000234,2.055033e-07,0.9980534
19.452368000000206,2.065253e-07,0.9980531
19.955374899999697,2.075509e-07,0.9980533
20.45888780000041,2.085315e-07,0.9980531
20.965043100000003,2.094978e-07,0.9980521
21.47980600000028,2.10454e-07,0.9980537
21.994129200000316,2.113989e-07,0.9980537
22.49746520000008,2.12337e-07,0.9980527
22.999413399999867,2.132332e-07,0.9980527
23.50032370000008,2.141326e-07,0.9980537
24.015666999999667,2.149898e-07,0.9980536
24.520340199999737,2.158743e-07,0.9980533
25.036368199999743,2.167496e-07,0.9980544
25.539448800000173,2.176114e-07,0.9980533
26.04401179999968,2.184514e-07,0.9980535
26.54843400000027,2.19328e-07,0.9980541
27.061453999999685,2.201635e-07,0.9980539
27.562048599999798,2.209751e-07,0.9980543
28.066234400000212,2.217842e-07,0.9980544
28.56768850000026,2.22573e-07,0.9980556
29.069138699999712,2.233796e-07,0.9980536
29.58415950000017,2.242099e-07,0.9980537
30.098880599999575,2.249971e-07,0.9980536
30.600692099999833,2.25771e-07,0.998054
31.104677500000435,2.265227e-07,0.998053
31.605314499999622,2.272639e-07,0.9980536
32.10652639999989,2.280103e-07,0.9980537
32.60670039999968,2.287298e-07,0.9980536
33.107306799999606,2.294649e-07,0.9980543
33.609804699999586,2.301795e-07,0.9980527
34.11205609999979,2.30867e-07,0.9980533
34.615157700000054,2.315755e-07,0.9980535
35.121275600000445,2.322873e-07,0.9980528
35.62643970000045,2.329965e-07,0.9980527
36.12646959999984,2.336816e-07,0.9980527
36.641172100000404,2.343865e-07,0.9980549
37.15645179999956,2.350761e-07,0.9980531
37.65992730000016,2.357391e-07,0.9980531
38.17719709999983,2.363937e-07,0.9980536
38.68161239999972,2.370668e-07,0.998054
39.18469619999996,2.377216e-07,0.9980547
39.68836250000004,2.383691e-07,0.9980541
40.202945799999725,2.390309e-07,0.9980543
40.70554449999963,2.396791e-07,0.9980546
41.207263299999795,2.403343e-07,0.9980541
41.71164940000017,2.409941e-07,0.9980549
42.22578069999963,2.416362e-07,0.9980541
42.72669490000044,2.422685e-07,0.998054
43.22921529999985,2.429554e-07,0.9980541
43.731159599999955,2.435968e-07,0.9980539
44.24604249999993,2.442475e-07,0.9980537
