Time (s),Current (A),Voltage (V)
0.33656280000013794,2.906413e-06,49.90377
0.84004989999994,4.107134e-06,49.90371
1.3530853000002026,5.251265e-06,49.90366
1.8698562999998103,6.128381e-06,49.90359
2.3858632000001307,6.777633e-06,49.90366
2.900084099999731,7.240727e-06,49.90359
3.404788499999995,7.584028e-06,49.90363
3.9064502999999604,7.840176e-06,49.90368
4.407743200000368,8.034724e-06,49.90365
4.912348599999859,8.178416e-06,49.90369
5.414586099999724,8.297069e-06,49.90368
5.917247800000041,8.383553e-06,49.90365
6.419980300000134,8.43563e-06,49.90371
6.922368700000334,8.472894e-06,49.90372
7.424680299999636,8.508346e-06,49.90365
7.929326499999661,8.529258e-06,49.9037
8.432612800000243,8.547862e-06,49.90374
8.946351999999933,8.567413e-06,49.90368
9.44713320000028,8.557891e-06,49.90369
9.94785150000007,8.542694e-06,49.90367
10.448607700000139,8.50536e-06,49.90367
10.949766099999579,8.480239e-06,49.90377
11.46219310000015,8.435662e-06,49.90371
11.977434499999617,8.401618e-06,49.90371
12.480313799999749,8.349694e-06,49.90378
12.994610900000225,8.300955e-06,49.90376
13.507825499999853,8.25458e-06,49.90371
14.009465199999795,8.196806e-06,49.90373
14.516556700000365,8.145026e-06,49.90372
15.021726599999965,8.095939e-06,49.90371
15.526867700000366,8.034035e-06,49.90369
16.032779400000436,7.970782e-06,49.90369
16.5370154000002,7.899091e-06,49.90359
17.05442680000033,7.831237e-06,49.90367
17.55534230000012,7.760436e-06,49.90365
18.058227800000168,7.683395e-06,49.90371
18.561742799999593,7.60969e-06,49.90377
19.06636199999957,7.543336e-06,49.90369
19.572213700000248,7.484893e-06,49.90379
20.07304490000024,7.414243e-06,49.90378
20.57902699999977,7.339952e-06,49.90374
21.079910200000086,7.263729e-06,49.90377
21.591480799999772,7.182261e-06,49.90376
22.10300180000013,7.107946e-06,49.90372
22.61733600000025,7.0313e-06,49.90375
23.119299599999977,6.963289e-06,49.90381
23.619264900000417,6.899643e-06,49.9038
24.13501400000041,6.83506e-06,49.90377
24.63768390000041,6.765108e-06,49.9038
25.15221670000028,6.690853e-06,49.90372
25.66730650000045,6.619155e-06,49.90364
26.18021039999985,6.552417e-06,49.90366
26.682950600000368,6.489593e-06,49.90378
27.19826749999993,6.41577e-06,49.9037
27.701509000000442,6.349451e-06,49.90374
28.20641499999965,6.281685e-06,49.9038
28.70927819999997,6.213043e-06,49.90378
29.212213599999814,6.147344e-06,49.90376
29.714990999999827,6.088418e-06,49.90379
30.217776800000138,6.019568e-06,49.90382
30.72035010000036,5.954611e-06,49.90381
31.23639650000041,5.891177e-06,49.90379
31.738274199999978,5.821036e-06,49.90377
32.2414988999999,5.763413e-06,49.90387
32.75754830000005,5.704808e-06,49.90384
33.27146580000044,5.633667e-06,49.9038
33.771758099999715,5.578837e-06,49.90376
34.27296709999973,5.520465e-06,49.90369
34.774530499999855,5.468821e-06,49.90374
35.27861389999998,5.412939e-06,49.90376
35.78132519999963,5.36097e-06,49.90367
36.295145899999625,5.301734e-06,49.9036
36.79775820000032,5.259293e-06,49.9037
37.30200359999981,5.20743e-06,49.90374
