Time (s),Current (A),Voltage (V)
0.3366892000003645,2.651112e-06,9.980649
0.8429726000003939,3.01242e-06,9.980642
1.346280100000513,3.252799e-06,9.980655
1.8616829000002326,3.457832e-06,9.980652
2.3622118000002956,3.63551e-06,9.980658
2.869164300000193,3.797663e-06,9.980659
3.3710815000004004,3.942774e-06,9.980658
3.873840199999904,4.07384e-06,9.980652
4.388080700000501,4.199622e-06,9.980654
4.888766000000032,4.315496e-06,9.980659
5.391872500000318,4.427417e-06,9.980655
5.908734300000106,4.531702e-06,9.980647
6.40878260000045,4.628513e-06,9.980655
6.910734799999773,4.715726e-06,9.980647
7.4108845999999176,4.800382e-06,9.980648
7.913642100000288,4.879497e-06,9.980653
8.414459999999963,4.954068e-06,9.980654
8.928057699999954,5.02455e-06,9.980657
9.430351099999825,5.092866e-06,9.980653
9.932952600000135,5.159131e-06,9.980649
10.448532299999897,5.22187e-06,9.980649
10.951370700000552,5.276154e-06,9.980648
11.454997300000286,5.332091e-06,9.980646
11.968871300000501,5.384802e-06,9.980646
12.47474340000008,5.431605e-06,9.980651
12.989120600000206,5.48312e-06,9.980651
13.491646299999957,5.528563e-06,9.980652
13.997873000000254,5.570679e-06,9.980639
14.500884099999894,5.612973e-06,9.980655
15.007092200000443,5.654437e-06,9.980645
15.52013580000039,5.695204e-06,9.980649
16.023426000000654,5.733359e-06,9.980652
16.535821299999952,5.772132e-06,9.980651
17.03863360000014,5.807686e-06,9.980653
17.54230330000064,5.843027e-06,9.980646
18.044985300000008,5.874385e-06,9.980645
18.5482535000001,5.905945e-06,9.980632
19.062079400000584,5.937117e-06,9.98065
19.562770900000032,5.964088e-06,9.980649
20.064975799999957,5.992086e-06,9.980662
20.576246300000093,6.021811e-06,9.980653
21.082481299999927,6.048955e-06,9.980664
21.59933330000058,6.075616e-06,9.980638
22.11115450000034,6.101407e-06,9.980659
22.61313020000034,6.125887e-06,9.980659
23.116737000000285,6.149984e-06,9.980649
23.620467700000518,6.172135e-06,9.980653
24.122064000000137,6.192512e-06,9.980659
24.624502000000575,6.2136e-06,9.980651
25.12492960000054,6.23388e-06,9.980658
25.63028160000067,6.250744e-06,9.980659
26.133802899999864,6.252238e-06,9.980654
26.636871800000335,6.27108e-06,9.980646
27.14244839999992,6.277802e-06,9.980654
27.643733200000497,6.290612e-06,9.98066
28.147652700000435,6.302397e-06,9.980659
28.649176500000067,6.317391e-06,9.980653
29.15280040000016,6.334253e-06,9.980647
29.653972500000236,6.35676e-06,9.980649
30.15738020000026,6.373298e-06,9.980647
30.66146690000005,6.388258e-06,9.980644
31.16427029999977,6.3996e-06,9.980649
31.664987799999835,6.411284e-06,9.980654
32.16862350000065,6.425138e-06,9.980649
32.67443739999999,6.438252e-06,9.980653
33.17384469999979,6.452219e-06,9.980653
33.676842800000486,6.463003e-06,9.980659
34.17971410000064,6.475932e-06,9.980653
34.68196810000063,6.487548e-06,9.980655
35.182556900000236,6.499383e-06,9.980665
35.6849286000006,6.510284e-06,9.980655
36.18634089999978,6.520389e-06,9.980649
36.68955580000056,6.531432e-06,9.98065
37.19298330000038,6.543133e-06,9.980659
37.69407620000038,6.554067e-06,9.980659
38.19784890000028,6.563678e-06,9.980663
38.71091560000059,6.574895e-06,9.980657
39.2260839999999,6.584823e-06,9.980661
39.731356700000106,6.594995e-06,9.980667
40.2454115999999,6.604317e-06,9.980652
40.75063339999997,6.604878e-06,9.98067
41.253647999999885,6.599923e-06,9.980657
41.769301299999825,6.604874e-06,9.980664
42.28260030000001,6.611399e-06,9.980661
42.782913900000494,6.621923e-06,9.98065
43.28638320000027,6.631005e-06,9.980658
43.80186270000013,6.636286e-06,9.980657
44.303777099999934,6.644108e-06,9.980648
44.80906649999997,6.652176e-06,9.980659
45.3120112000006,6.653779e-06,9.980642
45.81329900000037,6.654132e-06,9.980661
46.31501870000011,6.657661e-06,9.98066
46.82847700000002,6.662293e-06,9.980653
47.33536650000042,6.661069e-06,9.980657
47.83979030000046,6.662902e-06,9.980657
48.34064320000016,6.665214e-06,9.980653
48.8487025000004,6.665774e-06,9.98065
49.357889400000204,6.668012e-06,9.980651
49.865165799999886,6.67331e-06,9.98065
50.36796080000022,6.681068e-06,9.980653
50.870761300000595,6.682355e-06,9.980656
51.375630999999885,6.684224e-06,9.980659
51.87609380000049,6.681728e-06,9.980659
52.39196869999978,6.675034e-06,9.980643
52.89774219999981,6.673802e-06,9.980655
53.41277600000012,6.670812e-06,9.980646
53.91783880000003,6.670647e-06,9.98066
54.420435,6.671539e-06,9.980663
54.92467889999989,6.676345e-06,9.980655
55.42881099999977,6.678386e-06,9.980653
55.934653700000126,6.680231e-06,9.98065
56.44062480000048,6.679636e-06,9.980647
56.946133100000225,6.681425e-06,9.980649
57.449563500000295,6.682495e-06,9.980648
57.95719670000017,6.684315e-06,9.980655
58.468419599999834,6.685299e-06,9.980661
58.988264399999935,6.685891e-06,9.980661
59.501259100000425,6.68604e-06,9.980667
60.02221860000009,6.687417e-06,9.980654
60.82096030000048,5.704563e-05,9.980659
61.318312100000185,6.801648e-05,9.980642
61.82764430000043,6.643937e-05,9.980658
62.33828520000043,6.278136e-05,9.980651
62.85618919999979,6.01942e-05,9.980658
63.38306939999984,5.84895e-05,9.980657
63.899796499999866,5.805659e-05,9.980641
64.41249250000055,5.833575e-05,9.98065
64.9204593000004,5.869564e-05,9.980644
65.43508170000041,5.836868e-05,9.980656
65.94857830000001,5.788911e-05,9.980639
66.46158860000014,5.70827e-05,9.98064
66.99839900000006,5.655448e-05,9.980654
67.51684329999989,5.666032e-05,9.980651
68.04882580000049,5.696162e-05,9.980646
68.56870479999998,5.71845e-05,9.980652
69.09728240000004,5.699146e-05,9.98065
69.62112530000013,5.634283e-05,9.980656
70.14505420000023,5.582271e-05,9.980656
70.67009899999994,5.582501e-05,9.98066
71.19711740000002,5.610501e-05,9.980648
71.72386370000004,5.654487e-05,9.980647
72.25049730000046,5.656917e-05,9.980638
72.77382230000057,5.60306e-05,9.98065
73.31317720000061,5.552224e-05,9.980652
73.84361919999992,5.546531e-05,9.980649
74.3816998000002,5.582725e-05,9.980645
74.92681119999997,5.635475e-05,9.980649
75.45538949999991,5.636096e-05,9.980639
75.98585650000041,5.577218e-05,9.980641
76.51946750000025,5.520698e-05,9.980643
77.05001189999984,5.527409e-05,9.980643
77.5851545000005,5.5755e-05,9.980642
