Time (s),Current (A),Voltage (V)
0.7796987000001536,1.507629e-06,79.84721
1.2260305999998309,2.197589e-06,79.84721
1.7415356999999858,2.861868e-06,79.84723
2.254551199999696,3.40819e-06,79.84721
2.757958399999552,3.832914e-06,79.84729
3.272825600000033,4.2021e-06,79.84721
3.7791221999996196,4.497404e-06,79.84723
4.289921999999933,4.755686e-06,79.84737
4.792578099999446,4.982201e-06,79.84732
5.295518899999479,5.193952e-06,79.84726
5.799302800000078,5.378616e-06,79.84724
6.3049903000000995,5.550892e-06,79.84721
6.820967599999676,5.702884e-06,79.84724
7.3264431999996305,5.837083e-06,79.84721
7.826872900000126,5.947347e-06,79.84729
8.328185700000176,6.046906e-06,79.84726
8.831161500000235,6.149802e-06,79.84721
9.336207700000159,6.228092e-06,79.84735
9.850434599999971,6.291225e-06,79.84722
10.356462900000224,6.362486e-06,79.84721
10.871836999999687,6.44139e-06,79.84724
11.374263799999426,6.523097e-06,79.84724
11.876785599999494,6.592158e-06,79.84715
12.391728999999941,6.654297e-06,79.84721
12.90701689999969,6.696024e-06,79.84721
13.412211199999547,6.731822e-06,79.84727
13.915024099999755,6.756059e-06,79.84721
14.416980299999523,6.782308e-06,79.84719
14.92936219999956,6.812847e-06,79.84716
15.443795799999862,6.847228e-06,79.84712
15.94668769999953,6.853035e-06,79.84717
16.450488100000257,6.850807e-06,79.84712
16.953101799999786,6.850028e-06,79.84713
17.45636959999956,6.837633e-06,79.84721
17.967362700000194,6.829044e-06,79.84725
18.478067399999418,6.818949e-06,79.84716
18.980415999999423,6.806678e-06,79.84722
19.492290299999695,6.813619e-06,79.84715
19.993650700000217,6.804844e-06,79.84718
20.50995259999945,6.803233e-06,79.84719
21.014554999999746,6.793173e-06,79.84706
21.51516029999948,6.782538e-06,79.84725
22.01843579999968,6.761243e-06,79.84721
22.522517399999742,6.734691e-06,79.84721
23.02734689999943,6.702068e-06,79.84711
23.52855829999953,6.684332e-06,79.84713
24.033682600000247,6.660953e-06,79.8471
24.539199900000312,6.625306e-06,79.84722
25.039687599999525,6.573414e-06,79.84715
25.555194999999912,6.532294e-06,79.84716
26.07047809999949,6.490864e-06,79.84706
26.58333169999969,6.467934e-06,79.84718
27.08653239999967,6.4434e-06,79.84714
27.58702059999996,6.42195e-06,79.84714
28.089461499999743,6.390633e-06,79.84726
28.605534100000114,6.349245e-06,79.84715
29.120485200000076,6.315912e-06,79.84718
29.636145800000122,6.26523e-06,79.84715
30.142809699999816,6.22818e-06,79.84712
30.64671840000028,6.183089e-06,79.84717
31.148226799999975,6.135353e-06,79.84713
31.653695599999992,6.092883e-06,79.84716
32.16910749999988,6.036287e-06,79.84717
32.67034710000007,5.999944e-06,79.84721
33.176100300000144,5.965841e-06,79.84722
33.6806047,5.937507e-06,79.84716
34.19472330000008,5.918475e-06,79.84715
34.69769429999997,5.904693e-06,79.84709
35.2012050000003,5.898889e-06,79.84713
35.70673759999954,5.88741e-06,79.84711
36.209573799999816,5.862183e-06,79.84714
36.71178779999991,5.845662e-06,79.84721
37.22597339999993,5.822389e-06,79.84702
37.72684060000029,5.797308e-06,79.84705
38.24052920000031,5.762646e-06,79.84721
38.74238509999941,5.72851e-06,79.84717
39.244489699999576,5.69561e-06,79.84721
39.74634530000003,5.666864e-06,79.84724
40.26191920000019,5.636362e-06,79.84721
40.77766359999987,5.614373e-06,79.84721
41.280926100000215,5.577762e-06,79.84724
41.78766579999956,5.540779e-06,79.84719
42.29536719999942,5.514944e-06,79.84722
42.800177399999484,5.480726e-06,79.84724
43.30403819999992,5.447096e-06,79.84721
43.8191754999998,5.42359e-06,79.84731
44.33399499999996,5.406752e-06,79.84719
44.83526439999969,5.387109e-06,79.84719
45.337630799999715,5.366952e-06,79.84734
45.83796259999963,5.34509e-06,79.84727
46.33930929999951,5.315655e-06,79.84721
46.8523653000002,5.276652e-06,79.84713
47.3561907000003,5.246131e-06,79.84715
47.86204279999947,5.214721e-06,79.84719
48.363561299999674,5.193024e-06,79.84724
48.86956459999965,5.173411e-06,79.84718
49.37433599999986,5.149318e-06,79.84716
49.87541390000024,5.129909e-06,79.84715
50.37639680000029,5.123734e-06,79.84721
50.87899240000024,5.107664e-06,79.84715
51.380251300000054,5.091022e-06,79.84714
51.88628449999942,5.068788e-06,79.84712
52.38817889999973,5.050385e-06,79.84713
52.892343399999845,5.02843e-06,79.84713
53.396456899999976,5.00865e-06,79.84707
53.89842260000023,4.986353e-06,79.84708
54.40043979999973,4.958099e-06,79.84712
54.902292799999486,4.922826e-06,79.84719
55.40314209999997,4.891323e-06,79.84725
55.90865010000016,4.87498e-06,79.84716
56.40966010000011,4.846705e-06,79.84724
56.91152629999942,4.84106e-06,79.84727
57.42553459999999,4.83418e-06,79.84722
57.92665020000004,4.823197e-06,79.84724
58.428482399999666,4.803366e-06,79.84729
58.93167249999988,4.777584e-06,79.84724
59.43973230000029,4.746886e-06,79.84722
59.94399329999942,4.727962e-06,79.84721
60.449318899999525,4.696528e-06,79.84718
61.38044910000008,7.88477e-05,79.84644
61.89366659999996,6.641054e-05,79.84719
62.40714630000002,6.181238e-05,79.84722
62.91684869999972,5.859855e-05,79.84697
63.43178910000006,5.707084e-05,79.84711
63.94678079999994,5.569364e-05,79.84719
64.46012229999997,5.500801e-05,79.84714
64.97910150000007,5.41372e-05,79.8471
65.49415039999985,5.326578e-05,79.84717
66.01049539999985,5.278598e-05,79.84729
66.53141359999972,5.230207e-05,79.84716
67.0541188999996,5.191971e-05,79.84726
67.57275370000025,5.168289e-05,79.84721
68.10915389999991,5.121644e-05,79.8471
68.63389289999941,5.090711e-05,79.84713
69.15761229999953,5.084344e-05,79.84718
69.72448729999996,5.040247e-05,79.84715
70.26441780000005,5.027227e-05,79.84721
70.79254010000022,5.01819e-05,79.84721
71.34098540000014,4.982303e-05,79.84715
71.8652106999998,4.99176e-05,79.84721
72.39004999999997,4.944478e-05,79.84701
72.91046899999947,4.946655e-05,79.84718
73.46702490000007,4.966983e-05,79.84724
73.99745220000023,4.939161e-05,79.84717
74.53057759999956,4.925293e-05,79.84708
75.06534319999992,4.91046e-05,79.84717
75.59891309999966,4.911815e-05,79.84715
76.13952489999974,4.919179e-05,79.84711
76.67555579999953,4.917982e-05,79.84709
77.2105388,4.895603e-05,79.84714
77.74640189999991,4.887875e-05,79.84708
78.29546849999952,4.882411e-05,79.84718
78.83552950000012,4.865222e-05,79.84714
79.37485680000009,4.847822e-05,79.84712
79.91272539999954,4.837743e-05,79.8471
80.45574260000012,4.868877e-05,79.84722
80.99773610000011,4.870528e-05,79.84719
81.54987660000006,4.847949e-05,79.84709
82.09258520000003,4.848555e-05,79.84718
82.64206639999975,4.82534e-05,79.84711
83.17995689999952,4.837912e-05,79.84719
83.72855419999996,4.835749e-05,79.84714
84.27485049999996,4.848765e-05,79.84708
84.81320549999964,4.82179e-05,79.84712
85.35311579999961,4.814469e-05,79.84721
85.89596350000011,4.825018e-05,79.84708
86.45797990000028,4.822268e-05,79.84715
87.00152369999978,4.80059e-05,79.84715
87.5426539,4.784853e-05,79.84723
88.10744389999945,4.812001e-05,79.84709
88.64982119999968,4.804444e-05,79.84715
89.20909289999963,4.787529e-05,79.84714
89.7627980999996,4.793178e-05,79.84704
90.30794890000016,4.797176e-05,79.84705
90.85134420000031,4.782259e-05,79.84708
91.55376090000027,9.667652e-07,79.84716
92.39919159999954,1.091318e-06,79.84715
92.9515765999995,1.159462e-06,79.84719
93.50872849999996,1.219241e-06,79.84721
94.05876199999966,1.271488e-06,79.84715
94.61350299999958,1.321103e-06,79.84721
95.17223879999983,1.36587e-06,79.84718
95.72806889999993,1.406254e-06,79.84718
96.2826798999995,1.444074e-06,79.84724
96.84540250000009,1.479797e-06,79.84721
97.40361080000002,1.516366e-06,79.84721
97.96611839999969,1.552543e-06,79.84725
98.53010240000003,1.590596e-06,79.84721
99.09661489999962,1.629409e-06,79.84721
99.65535799999998,1.660107e-06,79.84721
100.2237183999996,1.686882e-06,79.84723
100.81564780000008,1.719647e-06,79.84718
101.39898879999964,1.749971e-06,79.84722
101.96125329999995,1.773655e-06,79.84718
102.52374520000012,1.795197e-06,79.84721
103.09423499999957,1.823792e-06,79.84721
103.66518159999941,1.843544e-06,79.84715
104.23438420000002,1.868485e-06,79.84714
104.82042060000003,1.893722e-06,79.84718
105.40842580000026,1.919972e-06,79.84718
105.97917069999949,1.944077e-06,79.84721
106.55554519999987,1.973604e-06,79.84721
107.1339038999995,2.001438e-06,79.84705
107.71169250000003,2.029867e-06,79.84724
108.28510809999989,2.05839e-06,79.84716
108.8766114,2.082343e-06,79.84717
109.46676779999962,2.109873e-06,79.84707
110.05815059999986,2.139671e-06,79.84711
110.64390469999944,2.17005e-06,79.84716
111.22418629999993,2.197962e-06,79.84723
111.80775829999948,2.217058e-06,79.84715
112.38587370000005,2.233963e-06,79.84714
112.97139100000004,2.247887e-06,79.84709
113.55400480000026,2.269598e-06,79.84718
114.13437569999951,2.292864e-06,79.84721
114.72075330000007,2.315499e-06,79.84711
115.31465920000028,2.334731e-06,79.84718
115.9039184000003,2.358135e-06,79.84711
116.49753779999992,2.376383e-06,79.84717
117.08470099999977,2.393229e-06,79.84723
117.70300510000015,2.415584e-06,79.84716
118.29715179999948,2.431194e-06,79.84722
118.88745469999958,2.446314e-06,79.84723
119.48592879999978,2.462707e-06,79.84724
120.08259970000017,2.474412e-06,79.84727
120.6795917999998,2.487061e-06,79.84732
121.27939669999978,2.509142e-06,79.84727
121.87623710000025,2.525006e-06,79.84733
122.48299010000028,2.536826e-06,79.84732
123.08433249999962,2.552798e-06,79.84722
123.69057739999971,2.559902e-06,79.84727
124.29370209999979,2.570207e-06,79.84718
124.91045169999961,2.582328e-06,79.84721
125.50851629999943,2.594588e-06,79.84715
126.12860069999988,2.602331e-06,79.84724
126.77223649999996,2.605068e-06,79.84719
127.37552940000023,2.619798e-06,79.84718
127.98263059999954,2.630607e-06,79.84715
128.59776299999976,2.650769e-06,79.84732
129.2048834999996,2.659196e-06,79.84729
129.83737029999975,2.675142e-06,79.84727
130.4572823999997,2.686769e-06,79.8473
131.06995449999977,2.696259e-06,79.84724
131.68209000000024,2.715244e-06,79.84719
132.29585249999946,2.724911e-06,79.84732
132.90895379999984,2.7246e-06,79.84724
133.52251129999968,2.727829e-06,79.84727
134.14186809999956,2.724572e-06,79.8473
134.77005180000015,2.727224e-06,79.84718
135.38984149999942,2.740141e-06,79.84719
136.0070638999996,2.745113e-06,79.84723
136.62491279999995,2.745315e-06,79.84724
137.24512249999952,2.754346e-06,79.84721
137.88605800000005,2.76037e-06,79.84718
138.5053865,2.768919e-06,79.84726
139.12757839999995,2.775255e-06,79.84719
139.75066330000027,2.789112e-06,79.84714
140.3940864999995,2.799513e-06,79.84729
141.0360595000002,2.808903e-06,79.84727
141.65603099999953,2.809679e-06,79.84725
142.2945248999995,2.814902e-06,79.84733
142.91855529999975,2.823131e-06,79.84718
143.5426465999999,2.834491e-06,79.84721
144.1741962999995,2.840141e-06,79.84731
144.80473100000017,2.850641e-06,79.84721
145.43555800000013,2.856762e-06,79.84721
146.0617669000003,2.872153e-06,79.84717
146.68997390000004,2.887436e-06,79.84731
147.32010189999983,2.897492e-06,79.84715
147.9522347000002,2.907858e-06,79.84719
148.58751959999972,2.907525e-06,79.84714
149.22776799999974,2.914773e-06,79.84715
