,Time (s),J (nA/cm2),bkg,J-bkg
140,75.11864250000008,2031.9643181818183,2025.4823953424263,6.4819228393919275
141,75.69750710000017,2031.7575000000002,2025.4470603379364,6.3104396620638
142,76.27546400000028,2031.7606818181819,2025.4115506467335,6.3491311714483345
143,76.8557267000001,2031.728181818182,2025.3758698596503,6.3523119585318
144,77.42837400000008,2031.6804545454545,2025.3400217682968,6.34043277715773
145,78.0161377000004,2031.4561363636365,2025.304010365162,6.152125998474503
146,78.5990299,2031.4695454545458,2025.2678398432354,6.2017056113104445
147,79.2003321000002,2031.3622727272727,2025.2315145900538,6.130758137218891
148,79.7823257,2031.4415909090908,2025.1950391892692,6.246551719821582
149,80.3844820000004,2031.3706818181818,2025.1584184184046,6.212263399777157
150,80.9786841,2031.361590909091,2025.1216572525166,6.239933656574522
151,81.56316220000008,2031.1845454545457,2025.0847608631107,6.099784591435082
152,82.14859430000024,2031.1870454545453,2025.0477346190164,6.139310835528931
153,82.73830190000037,2031.1204545454548,2025.0105840819565,6.109870463498282
154,83.32375660000024,2031.109772727273,2024.9733150077948,6.1364577194781305
155,83.9138979000004,2030.9629545454547,2024.9359333456066,6.02702119984815
156,84.50265470000022,2030.9718181818184,2024.8984452385187,6.073372943299773
157,85.09929860000013,2030.8965909090912,2024.8608570202493,6.035733888841833
158,85.69883100000015,2030.8247727272728,2024.823175216574,6.00159751069873
159,86.3067403,2030.8118181818181,2024.7854065441356,6.026411637682486
160,86.90242690000014,2030.7565909090913,2024.7475579093639,6.009032999727424
161,87.51019680000036,2030.7427272727273,2024.7096364092608,6.033090863466441
162,88.12315179999996,2030.7118181818184,2024.6716493308509,6.040168850967575
163,88.73424280000016,2030.5663636363638,2024.633604151941,5.9327594844228315
164,89.33543150000014,2030.662272727273,2024.5955085413443,6.066764185928605
165,89.93604670000012,2030.6225,2024.5573703554846,6.065129644515309
166,90.5353242000001,2030.5297727272725,2024.519197642633,6.01057508463964
167,91.13886850000016,2030.481590909091,2024.4809986428575,6.000592266233525
168,91.77069960000016,2030.4011363636366,2024.4427817862972,5.958354577339378
169,92.36567560000005,2030.3056818181817,2024.4045556928465,5.901126125335168
170,92.97606740000036,2030.32,2024.366329170819,5.953670829180965
171,93.58620100000007,2030.208181818182,2024.3281112151383,5.880070603043805
172,94.2000524,2021.9786363636367,2024.289911009,-2.3112746453632553
173,94.79708590000018,2023.1597727272729,2024.2517379215442,-1.0919651942713244
174,95.39776690000008,2023.6093181818183,2024.2135940861072,-0.6042759042888974
175,95.99515629999996,2023.8186363636366,2024.175478217459,-0.3568418538222886
176,96.59567620000009,2023.9761363636367,2024.1373871385904,-0.16125077495371443
177,97.21630200000028,2024.1140909090911,2024.0993165553439,0.014774353747270652
178,97.8318803000002,2024.1718181818183,2024.0612616687417,0.11055651307651715
179,98.43198510000002,2024.2388636363637,2024.0232176802745,0.2156459560892472
