[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2418 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:19
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,7.295100,7.644600
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,14.9396
Phi,0.00
Psi,0.00
Z,8.459
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
7.295350, 0.088, 1.0
7.295850, 0.088, 0.0
7.296350, 0.088, 0.0
7.296850, 0.088, 1.0
7.297350, 0.088, 0.0
7.297850, 0.088, 0.0
7.298350, 0.088, 1.0
7.298850, 0.088, 0.0
7.299350, 0.088, 0.0
7.299850, 0.088, 1.0
7.300350, 0.088, 0.0
7.300850, 0.088, 0.0
7.301350, 0.088, 0.0
7.301850, 0.088, 0.0
7.302350, 0.088, 0.0
7.302850, 0.088, 0.0
7.303350, 0.088, 0.0
7.303850, 0.088, 1.0
7.304350, 0.088, 0.0
7.304850, 0.088, 0.0
7.305350, 0.088, 0.0
7.305850, 0.088, 0.0
7.306350, 0.088, 0.0
7.306850, 0.088, 0.0
7.307350, 0.088, 0.0
7.307850, 0.088, 1.0
7.308350, 0.088, 1.0
7.308850, 0.088, 0.0
7.309350, 0.088, 0.0
7.309850, 0.088, 0.0
7.310350, 0.088, 1.0
7.310850, 0.088, 1.0
7.311350, 0.088, 0.0
7.311850, 0.088, 0.0
7.312350, 0.088, 1.0
7.312850, 0.088, 0.0
7.313350, 0.088, 1.0
7.313850, 0.088, 1.0
7.314350, 0.088, 0.0
7.314850, 0.088, 0.0
7.315350, 0.088, 2.0
7.315850, 0.088, 0.0
7.316350, 0.088, 0.0
7.316850, 0.088, 1.0
7.317350, 0.088, 1.0
7.317850, 0.088, 0.0
7.318350, 0.088, 0.0
7.318850, 0.088, 1.0
7.319350, 0.088, 0.0
7.319850, 0.088, 0.0
7.320350, 0.088, 1.0
7.320850, 0.088, 0.0
7.321350, 0.088, 0.0
7.321850, 0.088, 0.0
7.322350, 0.088, 0.0
7.322850, 0.088, 0.0
7.323350, 0.088, 0.0
7.323850, 0.088, 0.0
7.324350, 0.088, 0.0
7.324850, 0.088, 3.0
7.325350, 0.088, 1.0
7.325850, 0.088, 0.0
7.326350, 0.088, 1.0
7.326850, 0.088, 0.0
7.327350, 0.088, 2.0
7.327850, 0.088, 0.0
7.328350, 0.088, 2.0
7.328850, 0.088, 0.0
7.329350, 0.088, 0.0
7.329850, 0.088, 0.0
7.330350, 0.088, 0.0
7.330850, 0.088, 0.0
7.331350, 0.088, 1.0
7.331850, 0.088, 1.0
7.332350, 0.088, 0.0
7.332850, 0.088, 1.0
7.333350, 0.088, 0.0
7.333850, 0.088, 0.0
7.334350, 0.088, 0.0
7.334850, 0.088, 1.0
7.335350, 0.088, 0.0
7.335850, 0.088, 0.0
7.336350, 0.088, 0.0
7.336850, 0.088, 0.0
7.337350, 0.088, 0.0
7.337850, 0.088, 1.0
7.338350, 0.088, 1.0
7.338850, 0.088, 0.0
7.339350, 0.088, 1.0
7.339850, 0.088, 1.0
7.340350, 0.088, 0.0
7.340850, 0.088, 0.0
7.341350, 0.088, 0.0
