[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.0419 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:35
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,7.295300,7.644800
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,14.9400
Phi,0.00
Psi,0.00
Z,8.469
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
7.380050, 0.088, 1.0
7.380550, 0.088, 1.0
7.381050, 0.088, 3.0
7.381550, 0.088, 0.0
7.382050, 0.088, 1.0
7.382550, 0.088, 4.0
7.383050, 0.088, 3.0
7.383550, 0.088, 0.0
7.384050, 0.088, 0.0
7.384550, 0.088, 2.0
7.385050, 0.088, 1.0
7.385550, 0.088, 4.0
7.386050, 0.088, 2.0
7.386550, 0.088, 1.0
7.387050, 0.088, 0.0
7.387550, 0.088, 1.0
7.388050, 0.088, 1.0
7.388550, 0.088, 3.0
7.389050, 0.088, 1.0
7.389550, 0.088, 2.0
7.390050, 0.088, 1.0
7.390550, 0.088, 1.0
7.391050, 0.088, 2.0
7.391550, 0.088, 4.0
7.392050, 0.088, 2.0
7.392550, 0.088, 3.0
7.393050, 0.088, 0.0
7.393550, 0.088, 3.0
7.394050, 0.088, 1.0
7.394550, 0.088, 1.0
7.395050, 0.088, 4.0
7.395550, 0.088, 2.0
7.396050, 0.088, 3.0
7.396550, 0.088, 2.0
7.397050, 0.088, 1.0
7.397550, 0.088, 2.0
7.398050, 0.088, 3.0
7.398550, 0.088, 0.0
7.399050, 0.088, 2.0
7.399550, 0.088, 2.0
7.400050, 0.088, 6.0
7.400550, 0.088, 2.0
7.401050, 0.088, 3.0
7.401550, 0.088, 3.0
7.402050, 0.088, 1.0
7.402550, 0.088, 2.0
7.403050, 0.088, 3.0
7.403550, 0.088, 4.0
7.404050, 0.088, 1.0
7.404550, 0.088, 1.0
7.405050, 0.088, 2.0
7.405550, 0.088, 3.0
7.406050, 0.088, 1.0
7.406550, 0.088, 3.0
7.407050, 0.088, 6.0
7.407550, 0.088, 6.0
7.408050, 0.088, 0.0
7.408550, 0.088, 2.0
7.409050, 0.088, 2.0
7.409550, 0.088, 3.0
7.410050, 0.088, 3.0
7.410550, 0.088, 2.0
7.411050, 0.088, 2.0
7.411550, 0.088, 3.0
7.412050, 0.088, 5.0
7.412550, 0.088, 6.0
7.413050, 0.088, 6.0
7.413550, 0.088, 6.0
7.414050, 0.088, 7.0
7.414550, 0.088, 3.0
7.415050, 0.088, 2.0
7.415550, 0.088, 1.0
7.416050, 0.088, 8.0
7.416550, 0.088, 7.0
7.417050, 0.088, 3.0
7.417550, 0.088, 4.0
7.418050, 0.088, 7.0
7.418550, 0.088, 12.0
7.419050, 0.088, 8.0
7.419550, 0.088, 7.0
7.420050, 0.088, 8.0
7.420550, 0.088, 6.0
7.421050, 0.088, 4.0
7.421550, 0.088, 9.0
7.422050, 0.088, 6.0
7.422550, 0.088, 4.0
7.423050, 0.088, 7.0
7.423550, 0.088, 4.0
7.424050, 0.088, 4.0
7.424550, 0.088, 10.0
7.425050, 0.088, 2.0
7.425550, 0.088, 9.0
7.426050, 0.088, 7.0
7.426550, 0.088, 11.0
7.427050, 0.088, 10.0
7.427550, 0.088, 13.0
7.428050, 0.088, 13.0
7.428550, 0.088, 13.0
7.429050, 0.088, 11.0
7.429550, 0.088, 12.0
7.430050, 0.088, 16.0
7.430550, 0.088, 16.0
7.431050, 0.088, 12.0
7.431550, 0.088, 9.0
7.432050, 0.088, 11.0
7.432550, 0.088, 11.0
7.433050, 0.088, 9.0
7.433550, 0.088, 12.0
7.434050, 0.088, 10.0
7.434550, 0.088, 20.0
7.435050, 0.088, 21.0
7.435550, 0.088, 11.0
7.436050, 0.088, 14.0
7.436550, 0.088, 13.0
7.437050, 0.088, 17.0
7.437550, 0.088, 17.0
7.438050, 0.088, 12.0
7.438550, 0.088, 17.0
7.439050, 0.088, 19.0
7.439550, 0.088, 19.0
7.440050, 0.088, 18.0
7.440550, 0.088, 31.0
7.441050, 0.088, 28.0
7.441550, 0.088, 26.0
7.442050, 0.088, 26.0
7.442550, 0.088, 26.0
7.443050, 0.088, 28.0
7.443550, 0.088, 26.0
7.444050, 0.088, 29.0
7.444550, 0.088, 36.0
7.445050, 0.088, 22.0
7.445550, 0.088, 34.0
7.446050, 0.088, 38.0
7.446550, 0.088, 43.0
7.447050, 0.088, 36.0
7.447550, 0.088, 28.0
7.448050, 0.088, 50.0
7.448550, 0.088, 35.0
7.449050, 0.088, 37.0
7.449550, 0.088, 43.0
7.450050, 0.088, 54.0
7.450550, 0.088, 64.0
7.451050, 0.088, 58.0
7.451550, 0.088, 59.0
7.452050, 0.088, 74.0
7.452550, 0.088, 76.0
7.453050, 0.088, 85.0
7.453550, 0.088, 79.0
7.454050, 0.088, 101.0
7.454550, 0.088, 97.0
7.455050, 0.088, 99.0
7.455550, 0.088, 133.0
7.456050, 0.088, 120.0
7.456550, 0.088, 137.0
7.457050, 0.088, 130.0
7.457550, 0.088, 155.0
7.458050, 0.088, 155.0
7.458550, 0.088, 181.0
7.459050, 0.088, 209.0
7.459550, 0.088, 237.0
7.460050, 0.088, 235.0
7.460550, 0.088, 281.0
7.461050, 0.088, 310.0
7.461550, 0.088, 323.0
7.462050, 0.088, 423.0
7.462550, 0.088, 428.0
7.463050, 0.088, 494.0
7.463550, 0.088, 577.0
7.464050, 0.088, 675.0
7.464550, 0.088, 843.0
7.465050, 0.088, 1245.0
7.465550, 0.088, 1788.0
7.466050, 0.088, 2638.0
7.466550, 0.088, 3959.0
7.467050, 0.088, 5192.0
7.467550, 0.088, 5780.0
7.468050, 0.088, 6284.0
7.468550, 0.088, 6359.0
7.469050, 0.088, 5974.0
7.469550, 0.088, 5370.0
7.470050, 0.088, 4720.0
7.470550, 0.088, 3909.0
7.471050, 0.088, 3059.0
7.471550, 0.088, 2350.0
7.472050, 0.088, 1837.0
7.472550, 0.088, 1472.0
7.473050, 0.088, 1147.0
7.473550, 0.088, 892.0
7.474050, 0.088, 649.0
7.474550, 0.088, 598.0
7.475050, 0.088, 518.0
7.475550, 0.088, 499.0
7.476050, 0.088, 478.0
7.476550, 0.088, 381.0
7.477050, 0.088, 349.0
7.477550, 0.088, 303.0
7.478050, 0.088, 303.0
7.478550, 0.088, 283.0
7.479050, 0.088, 252.0
7.479550, 0.088, 188.0
7.480050, 0.088, 220.0
7.480550, 0.088, 187.0
7.481050, 0.088, 163.0
7.481550, 0.088, 157.0
7.482050, 0.088, 139.0
7.482550, 0.088, 159.0
7.483050, 0.088, 144.0
7.483550, 0.088, 119.0
7.484050, 0.088, 118.0
7.484550, 0.088, 109.0
7.485050, 0.088, 112.0
7.485550, 0.088, 93.0
7.486050, 0.088, 92.0
7.486550, 0.088, 98.0
7.487050, 0.088, 78.0
7.487550, 0.088, 74.0
7.488050, 0.088, 85.0
7.488550, 0.088, 68.0
7.489050, 0.088, 68.0
7.489550, 0.088, 76.0
7.490050, 0.088, 59.0
7.490550, 0.088, 51.0
7.491050, 0.088, 55.0
7.491550, 0.088, 50.0
7.492050, 0.088, 41.0
7.492550, 0.088, 48.0
7.493050, 0.088, 55.0
7.493550, 0.088, 48.0
7.494050, 0.088, 40.0
7.494550, 0.088, 36.0
7.495050, 0.088, 49.0
7.495550, 0.088, 32.0
7.496050, 0.088, 37.0
7.496550, 0.088, 30.0
7.497050, 0.088, 35.0
7.497550, 0.088, 28.0
7.498050, 0.088, 40.0
7.498550, 0.088, 36.0
7.499050, 0.088, 25.0
7.499550, 0.088, 17.0
7.500050, 0.088, 20.0
7.500550, 0.088, 30.0
7.501050, 0.088, 28.0
7.501550, 0.088, 26.0
7.502050, 0.088, 24.0
7.502550, 0.088, 22.0
7.503050, 0.088, 25.0
7.503550, 0.088, 24.0
7.504050, 0.088, 24.0
7.504550, 0.088, 18.0
7.505050, 0.088, 24.0
7.505550, 0.088, 27.0
7.506050, 0.088, 17.0
7.506550, 0.088, 13.0
7.507050, 0.088, 18.0
7.507550, 0.088, 9.0
7.508050, 0.088, 11.0
7.508550, 0.088, 16.0
7.509050, 0.088, 13.0
7.509550, 0.088, 13.0
7.510050, 0.088, 11.0
7.510550, 0.088, 15.0
7.511050, 0.088, 6.0
7.511550, 0.088, 8.0
7.512050, 0.088, 12.0
7.512550, 0.088, 11.0
7.513050, 0.088, 10.0
7.513550, 0.088, 21.0
7.514050, 0.088, 12.0
7.514550, 0.088, 14.0
7.515050, 0.088, 10.0
7.515550, 0.088, 5.0
7.516050, 0.088, 9.0
7.516550, 0.088, 7.0
7.517050, 0.088, 8.0
7.517550, 0.088, 10.0
7.518050, 0.088, 13.0
7.518550, 0.088, 6.0
7.519050, 0.088, 8.0
7.519550, 0.088, 8.0
7.520050, 0.088, 6.0
7.520550, 0.088, 5.0
7.521050, 0.088, 11.0
7.521550, 0.088, 2.0
7.522050, 0.088, 8.0
7.522550, 0.088, 6.0
7.523050, 0.088, 6.0
7.523550, 0.088, 14.0
7.524050, 0.088, 6.0
7.524550, 0.088, 8.0
7.525050, 0.088, 3.0
7.525550, 0.088, 6.0
7.526050, 0.088, 5.0
7.526550, 0.088, 5.0
7.527050, 0.088, 6.0
7.527550, 0.088, 4.0
7.528050, 0.088, 2.0
7.528550, 0.088, 4.0
7.529050, 0.088, 5.0
7.529550, 0.088, 3.0
7.530050, 0.088, 7.0
7.530550, 0.088, 4.0
7.531050, 0.088, 8.0
7.531550, 0.088, 3.0
7.532050, 0.088, 1.0
7.532550, 0.088, 3.0
7.533050, 0.088, 1.0
7.533550, 0.088, 2.0
7.534050, 0.088, 4.0
7.534550, 0.088, 5.0
7.535050, 0.088, 4.0
7.535550, 0.088, 5.0
7.536050, 0.088, 3.0
7.536550, 0.088, 2.0
7.537050, 0.088, 3.0
7.537550, 0.088, 4.0
7.538050, 0.088, 6.0
7.538550, 0.088, 2.0
7.539050, 0.088, 1.0
7.539550, 0.088, 1.0
7.540050, 0.088, 3.0
7.540550, 0.088, 1.0
7.541050, 0.088, 3.0
7.541550, 0.088, 3.0
7.542050, 0.088, 2.0
7.542550, 0.088, 5.0
7.543050, 0.088, 1.0
7.543550, 0.088, 3.0
7.544050, 0.088, 0.0
7.544550, 0.088, 3.0
7.545050, 0.088, 0.0
7.545550, 0.088, 6.0
7.546050, 0.088, 3.0
7.546550, 0.088, 3.0
7.547050, 0.088, 0.0
7.547550, 0.088, 2.0
7.548050, 0.088, 1.0
7.548550, 0.088, 3.0
7.549050, 0.088, 1.0
7.549550, 0.088, 1.0
7.550050, 0.088, 0.0
7.550550, 0.088, 3.0
7.551050, 0.088, 1.0
7.551550, 0.088, 3.0
7.552050, 0.088, 1.0
7.552550, 0.088, 3.0
7.553050, 0.088, 2.0
7.553550, 0.088, 0.0
7.554050, 0.088, 1.0
7.554550, 0.088, 1.0
7.555050, 0.088, 0.0
7.555550, 0.088, 0.0
7.556050, 0.088, 0.0
7.556550, 0.088, 0.0
7.557050, 0.088, 2.0
7.557550, 0.088, 0.0
7.558050, 0.088, 2.0
7.558550, 0.088, 1.0
7.559050, 0.088, 0.0
7.559550, 0.088, 1.0
7.560050, 0.088, 1.0
7.560550, 0.088, 0.0
7.561050, 0.088, 2.0
7.561550, 0.088, 0.0
7.562050, 0.088, 1.0
7.562550, 0.088, 1.0
7.563050, 0.088, 2.0
7.563550, 0.088, 1.0
7.564050, 0.088, 0.0
7.564550, 0.088, 2.0
7.565050, 0.088, 0.0
7.565550, 0.088, 1.0
7.566050, 0.088, 1.0
7.566550, 0.088, 2.0
7.567050, 0.088, 0.0
7.567550, 0.088, 4.0
7.568050, 0.088, 0.0
7.568550, 0.088, 0.0
7.569050, 0.088, 0.0
7.569550, 0.088, 0.0
7.570050, 0.088, 2.0
7.570550, 0.088, 0.0
7.571050, 0.088, 2.0
7.571550, 0.088, 0.0
7.572050, 0.088, 1.0
7.572550, 0.088, 4.0
7.573050, 0.088, 1.0
7.573550, 0.088, 0.0
7.574050, 0.088, 0.0
7.574550, 0.088, 1.0
7.575050, 0.088, 1.0
7.575550, 0.088, 1.0
7.576050, 0.088, 1.0
7.576550, 0.088, 0.0
7.577050, 0.088, 0.0
7.577550, 0.088, 2.0
7.578050, 0.088, 0.0
7.578550, 0.088, 1.0
7.579050, 0.088, 1.0
7.579550, 0.088, 0.0
7.580050, 0.088, 2.0
7.580550, 0.088, 0.0
7.581050, 0.088, 2.0
7.581550, 0.088, 0.0
7.582050, 0.088, 3.0
7.582550, 0.088, 1.0
7.583050, 0.088, 1.0
7.583550, 0.088, 1.0
7.584050, 0.088, 1.0
7.584550, 0.088, 1.0
7.585050, 0.088, 0.0
7.585550, 0.088, 1.0
7.586050, 0.088, 1.0
7.586550, 0.088, 1.0
7.587050, 0.088, 0.0
7.587550, 0.088, 0.0
7.588050, 0.088, 0.0
7.588550, 0.088, 1.0
7.589050, 0.088, 2.0
7.589550, 0.088, 0.0
7.590050, 0.088, 0.0
7.590550, 0.088, 1.0
7.591050, 0.088, 1.0
7.591550, 0.088, 0.0
7.592050, 0.088, 0.0
7.592550, 0.088, 0.0
7.593050, 0.088, 0.0
7.593550, 0.088, 0.0
7.594050, 0.088, 0.0
7.594550, 0.088, 2.0
7.595050, 0.088, 0.0
7.595550, 0.088, 1.0
7.596050, 0.088, 1.0
7.596550, 0.088, 1.0
7.597050, 0.088, 0.0
7.597550, 0.088, 1.0
7.598050, 0.088, 0.0
7.598550, 0.088, 1.0
7.599050, 0.088, 2.0
7.599550, 0.088, 0.0
7.600050, 0.088, 1.0
7.600550, 0.088, 0.0
7.601050, 0.088, 1.0
7.601550, 0.088, 0.0
7.602050, 0.088, 1.0
7.602550, 0.088, 1.0
7.603050, 0.088, 0.0
7.603550, 0.088, 0.0
7.604050, 0.088, 0.0
