[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2418 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:29
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,7.426200,7.775700
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,14.9396
Phi,0.00
Psi,0.00
Z,8.459
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
7.426450, 0.088, 0.0
7.426950, 0.088, 0.0
7.427450, 0.088, 0.0
7.427950, 0.088, 0.0
7.428450, 0.088, 1.0
7.428950, 0.088, 0.0
7.429450, 0.088, 0.0
7.429950, 0.088, 0.0
7.430450, 0.088, 0.0
7.430950, 0.088, 0.0
7.431450, 0.088, 0.0
7.431950, 0.088, 0.0
7.432450, 0.088, 0.0
7.432950, 0.088, 0.0
7.433450, 0.088, 0.0
7.433950, 0.088, 0.0
7.434450, 0.088, 0.0
7.434950, 0.088, 0.0
7.435450, 0.088, 0.0
7.435950, 0.088, 0.0
7.436450, 0.088, 1.0
7.436950, 0.088, 0.0
7.437450, 0.088, 0.0
7.437950, 0.088, 0.0
7.438450, 0.088, 0.0
7.438950, 0.088, 1.0
7.439450, 0.088, 1.0
7.439950, 0.088, 0.0
7.440450, 0.088, 0.0
7.440950, 0.088, 0.0
7.441450, 0.088, 0.0
7.441950, 0.088, 0.0
7.442450, 0.088, 0.0
7.442950, 0.088, 0.0
7.443450, 0.088, 0.0
7.443950, 0.088, 0.0
7.444450, 0.088, 0.0
7.444950, 0.088, 0.0
7.445450, 0.088, 0.0
7.445950, 0.088, 0.0
7.446450, 0.088, 0.0
7.446950, 0.088, 2.0
7.447450, 0.088, 0.0
7.447950, 0.088, 0.0
7.448450, 0.088, 0.0
7.448950, 0.088, 0.0
7.449450, 0.088, 0.0
7.449950, 0.088, 0.0
7.450450, 0.088, 0.0
7.450950, 0.088, 1.0
7.451450, 0.088, 0.0
7.451950, 0.088, 0.0
7.452450, 0.088, 0.0
7.452950, 0.088, 0.0
7.453450, 0.088, 0.0
7.453950, 0.088, 0.0
7.454450, 0.088, 0.0
7.454950, 0.088, 0.0
7.455450, 0.088, 0.0
7.455950, 0.088, 0.0
7.456450, 0.088, 0.0
7.456950, 0.088, 3.0
7.457450, 0.088, 0.0
7.457950, 0.088, 0.0
7.458450, 0.088, 0.0
7.458950, 0.088, 0.0
7.459450, 0.088, 0.0
7.459950, 0.088, 1.0
7.460450, 0.088, 1.0
7.460950, 0.088, 0.0
7.461450, 0.088, 0.0
7.461950, 0.088, 0.0
7.462450, 0.088, 0.0
7.462950, 0.088, 0.0
7.463450, 0.088, 0.0
7.463950, 0.088, 1.0
7.464450, 0.088, 1.0
7.464950, 0.088, 0.0
7.465450, 0.088, 0.0
7.465950, 0.088, 0.0
7.466450, 0.088, 0.0
7.466950, 0.088, 2.0
7.467450, 0.088, 1.0
7.467950, 0.088, 0.0
7.468450, 0.088, 0.0
7.468950, 0.088, 0.0
7.469450, 0.088, 0.0
7.469950, 0.088, 5.0
