Created as New Dataset, , 
nm, A, 
535.0, 2.7918, 
534.0, 3.1483, 
533.0, 10.0000, 
532.0, 2.4400, 
531.0, 2.9341, 
530.0, 2.3698, 
529.0, 2.6438, 
528.0, 10.0000, 
527.0, 2.6949, 
526.0, 3.2328, 
525.0, 2.3940, 
524.0, 2.8618, 
523.0, 2.7707, 
522.0, 3.0393, 
521.0, 10.0000, 
520.0, 3.4873, 
519.0, 3.4865, 
518.0, 2.6675, 
517.0, 3.0407, 
516.0, 3.4114, 
515.0, 2.6566, 
514.0, 2.9858, 
513.0, 10.0000, 
512.0, 10.0000, 
511.0, 10.0000, 
510.0, 10.0000, 
509.0, 10.0000, 
508.0, 10.0000, 
507.0, 10.0000, 
506.0, 10.0000, 
505.0, 10.0000, 
504.0, 10.0000, 
503.0, 10.0000, 
502.0, 10.0000, 
501.0, 10.0000, 
500.0, 10.0000, 
499.0, 10.0000, 
498.0, 10.0000, 
497.0, 10.0000, 
496.0, 10.0000, 
495.0, 10.0000, 
494.0, 10.0000, 
493.0, 10.0000, 
492.0, 10.0000, 
491.0, 10.0000, 
490.0, 10.0000, 
489.0, 10.0000, 
488.0, 10.0000, 
487.0, 2.9151, 
486.0, 2.9626, 
485.0, 2.6122, 
484.0, 2.6005, 
483.0, 2.2587, 
482.0, 2.3135, 
481.0, 2.1779, 
480.0, 2.2044, 
479.0, 2.3641, 
478.0, 2.2657, 
477.0, 2.5976, 
476.0, 2.8338, 
475.0, 2.4042, 
474.0, 2.6686, 
473.0, 2.5596, 
472.0, 2.6675, 
471.0, 2.6816, 
470.0, 2.6676, 
469.0, 3.0585, 
468.0, 2.8099, 
467.0, 10.0000, 
466.0, 10.0000, 
465.0, 10.0000, 
464.0, 10.0000, 
463.0, 10.0000, 
462.0, 10.0000, 
461.0, 10.0000, 
460.0, 10.0000, 
459.0, 10.0000, 
458.0, 10.0000, 
457.0, 10.0000, 
456.0, 10.0000, 
455.0, 10.0000, 
454.0, 10.0000, 
453.0, 10.0000, 
452.0, 10.0000, 
451.0, 10.0000, 
450.0, 10.0000, 
449.0, 10.0000, 
448.0, 10.0000, 
447.0, 10.0000, 
446.0, 3.1639, 
445.0, 10.0000, 
444.0, 2.8443, 
443.0, 2.7327, 
442.0, 3.4637, 
441.0, 10.0000, 
440.0, 10.0000, 
439.0, 2.8182, 
438.0, 3.0452, 
437.0, 3.3135, 
436.0, 10.0000, 
435.0, 10.0000, 
434.0, 2.9262, 
433.0, 3.2511, 
432.0, 3.0388, 
431.0, 3.2491, 
430.0, 10.0000, 
429.0, 3.0379, 
428.0, 10.0000, 
427.0, 10.0000, 
426.0, 10.0000, 
425.0, 10.0000, 
424.0, 3.5457, 
423.0, 10.0000, 
422.0, 10.0000, 
421.0, 10.0000, 
420.0, 10.0000, 
419.0, 10.0000, 
418.0, 10.0000, 
417.0, 10.0000, 
416.0, 10.0000, 
415.0, 10.0000, 
414.0, 3.6623, 
413.0, 10.0000, 
412.0, 2.7074, 
411.0, 2.6470, 
410.0, 3.4391, 
409.0, 10.0000, 
408.0, 10.0000, 
407.0, 10.0000, 
406.0, 10.0000, 
405.0, 4.1322, 
404.0, 3.3533, 
403.0, 10.0000, 
402.0, 10.0000, 
401.0, 10.0000, 
400.0, 10.0000, 
