Created as New Dataset, , 
nm, A, 
535.0, 10.0000, 
534.0, 2.9344, 
533.0, 2.7905, 
532.0, 10.0000, 
531.0, 2.4570, 
530.0, 2.3260, 
529.0, 2.4244, 
528.0, 10.0000, 
527.0, 2.7391, 
526.0, 3.3419, 
525.0, 2.6679, 
524.0, 2.6927, 
523.0, 2.5229, 
522.0, 2.9550, 
521.0, 3.1854, 
520.0, 3.2832, 
519.0, 2.9067, 
518.0, 3.0099, 
517.0, 2.8858, 
516.0, 3.0134, 
515.0, 10.0000, 
514.0, 10.0000, 
513.0, 10.0000, 
512.0, 10.0000, 
511.0, 10.0000, 
510.0, 10.0000, 
509.0, 10.0000, 
508.0, 10.0000, 
507.0, 10.0000, 
506.0, 10.0000, 
505.0, 10.0000, 
504.0, 10.0000, 
503.0, 10.0000, 
502.0, 10.0000, 
501.0, 10.0000, 
500.0, 10.0000, 
499.0, 10.0000, 
498.0, 10.0000, 
497.0, 10.0000, 
496.0, 10.0000, 
495.0, 10.0000, 
494.0, 10.0000, 
493.0, 10.0000, 
492.0, 10.0000, 
491.0, 10.0000, 
490.0, 10.0000, 
489.0, 3.2394, 
488.0, 10.0000, 
487.0, 2.9634, 
486.0, 2.4771, 
485.0, 2.3469, 
484.0, 2.6601, 
483.0, 2.5161, 
482.0, 2.2063, 
481.0, 2.2876, 
480.0, 2.1955, 
479.0, 2.2752, 
478.0, 2.5361, 
477.0, 2.4962, 
476.0, 2.6991, 
475.0, 2.3300, 
474.0, 3.3287, 
473.0, 2.8502, 
472.0, 2.8110, 
471.0, 3.5709, 
470.0, 3.0266, 
469.0, 4.1724, 
468.0, 2.8292, 
467.0, 2.6662, 
466.0, 2.8924, 
465.0, 2.8295, 
464.0, 10.0000, 
463.0, 10.0000, 
462.0, 10.0000, 
461.0, 10.0000, 
460.0, 10.0000, 
459.0, 10.0000, 
458.0, 10.0000, 
457.0, 10.0000, 
456.0, 10.0000, 
455.0, 10.0000, 
454.0, 10.0000, 
453.0, 10.0000, 
452.0, 10.0000, 
451.0, 10.0000, 
450.0, 10.0000, 
449.0, 10.0000, 
448.0, 3.3881, 
447.0, 10.0000, 
446.0, 10.0000, 
445.0, 3.1658, 
444.0, 10.0000, 
443.0, 3.1641, 
442.0, 3.3175, 
441.0, 10.0000, 
440.0, 10.0000, 
439.0, 10.0000, 
438.0, 3.0800, 
437.0, 10.0000, 
436.0, 10.0000, 
435.0, 3.0788, 
434.0, 2.4939, 
433.0, 2.5414, 
432.0, 10.0000, 
431.0, 10.0000, 
430.0, 3.4539, 
429.0, 10.0000, 
428.0, 10.0000, 
427.0, 10.0000, 
426.0, 3.5456, 
425.0, 10.0000, 
424.0, 10.0000, 
423.0, 10.0000, 
422.0, 10.0000, 
421.0, 4.1458, 
420.0, 10.0000, 
419.0, 10.0000, 
418.0, 10.0000, 
417.0, 10.0000, 
416.0, 10.0000, 
415.0, 10.0000, 
414.0, 10.0000, 
413.0, 2.9356, 
412.0, 2.6764, 
411.0, 10.0000, 
410.0, 10.0000, 
409.0, 10.0000, 
408.0, 10.0000, 
407.0, 10.0000, 
406.0, 10.0000, 
405.0, 10.0000, 
404.0, 10.0000, 
403.0, 10.0000, 
402.0, 10.0000, 
401.0, 2.7147, 
400.0, 10.0000, 
