[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2410 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:11
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,31.135200,31.484700
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,62.6197
Phi,0.00
Psi,0.00
Z,8.431
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
31.219950, 0.088, 0.0
31.220450, 0.088, 0.0
31.220950, 0.088, 0.0
31.221450, 0.088, 0.0
31.221950, 0.088, 2.0
31.222450, 0.088, 2.0
31.222950, 0.088, 0.0
31.223450, 0.088, 0.0
31.223950, 0.088, 1.0
31.224450, 0.088, 0.0
31.224950, 0.088, 0.0
31.225450, 0.088, 0.0
31.225950, 0.088, 0.0
31.226450, 0.088, 0.0
31.226950, 0.088, 2.0
31.227450, 0.088, 1.0
31.227950, 0.088, 0.0
31.228450, 0.088, 1.0
31.228950, 0.088, 0.0
31.229450, 0.088, 0.0
31.229950, 0.088, 0.0
31.230450, 0.088, 0.0
31.230950, 0.088, 2.0
31.231450, 0.088, 0.0
31.231950, 0.088, 0.0
31.232450, 0.088, 1.0
31.232950, 0.088, 0.0
31.233450, 0.088, 0.0
31.233950, 0.088, 2.0
31.234450, 0.088, 1.0
31.234950, 0.088, 1.0
31.235450, 0.088, 0.0
31.235950, 0.088, 0.0
31.236450, 0.088, 0.0
31.236950, 0.088, 1.0
31.237450, 0.088, 0.0
31.237950, 0.088, 0.0
31.238450, 0.088, 1.0
31.238950, 0.088, 0.0
31.239450, 0.088, 0.0
31.239950, 0.088, 0.0
31.240450, 0.088, 0.0
31.240950, 0.088, 0.0
31.241450, 0.088, 1.0
31.241950, 0.088, 0.0
31.242450, 0.088, 0.0
31.242950, 0.088, 0.0
31.243450, 0.088, 0.0
31.243950, 0.088, 0.0
31.244450, 0.088, 1.0
31.244950, 0.088, 1.0
31.245450, 0.088, 1.0
31.245950, 0.088, 0.0
31.246450, 0.088, 0.0
31.246950, 0.088, 0.0
31.247450, 0.088, 0.0
31.247950, 0.088, 0.0
31.248450, 0.088, 2.0
31.248950, 0.088, 2.0
31.249450, 0.088, 0.0
31.249950, 0.088, 0.0
31.250450, 0.088, 1.0
31.250950, 0.088, 2.0
31.251450, 0.088, 1.0
31.251950, 0.088, 0.0
31.252450, 0.088, 1.0
31.252950, 0.088, 2.0
31.253450, 0.088, 0.0
31.253950, 0.088, 1.0
31.254450, 0.088, 2.0
31.254950, 0.088, 0.0
31.255450, 0.088, 1.0
31.255950, 0.088, 1.0
31.256450, 0.088, 0.0
31.256950, 0.088, 0.0
