[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Chi-Phi-Z stage 240 mm (reflection), Owner=User-1, Creation date=10/23/2015 4:48:55 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Chi-Phi-z stage 240 mm (reflection); Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Yuki-Relative_omega-scan.xrdmp, Identifier={714DD9F1-97E5-4756-BC72-863CC68FA22F}"
Comment - 6,"Fine Calibration Offset for 2Theta = 0.0058 deg"
Comment - 7,"Fine Calibration Offset for Omega = 0.2410 deg"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Monochromator used,YES
Generator voltage, 40
Tube current, 20
File date and time,21/Oct/2023 10:04
Unit cell,
h k l, 0 0 0
Scan axis,Omega
Scan range,7.291400,7.640900
Scan step size,0.0005000
No. of points, 699
Scan type,CONTINUOUS
2Theta,14.9321
Phi,0.00
Psi,0.00
Z,8.431
Time per step,0.088
[Scan points]
Angle, TimePerStep, Intensity
7.376150, 0.088, 2.0
7.376650, 0.088, 1.0
7.377150, 0.088, 2.0
7.377650, 0.088, 4.0
7.378150, 0.088, 2.0
7.378650, 0.088, 2.0
7.379150, 0.088, 1.0
7.379650, 0.088, 0.0
7.380150, 0.088, 4.0
7.380650, 0.088, 1.0
7.381150, 0.088, 3.0
7.381650, 0.088, 4.0
7.382150, 0.088, 1.0
7.382650, 0.088, 1.0
7.383150, 0.088, 0.0
7.383650, 0.088, 2.0
7.384150, 0.088, 1.0
7.384650, 0.088, 0.0
7.385150, 0.088, 3.0
7.385650, 0.088, 4.0
7.386150, 0.088, 2.0
7.386650, 0.088, 3.0
7.387150, 0.088, 1.0
7.387650, 0.088, 3.0
7.388150, 0.088, 3.0
7.388650, 0.088, 1.0
7.389150, 0.088, 4.0
7.389650, 0.088, 1.0
7.390150, 0.088, 1.0
7.390650, 0.088, 3.0
7.391150, 0.088, 3.0
7.391650, 0.088, 2.0
7.392150, 0.088, 3.0
7.392650, 0.088, 1.0
7.393150, 0.088, 1.0
7.393650, 0.088, 4.0
7.394150, 0.088, 2.0
7.394650, 0.088, 1.0
7.395150, 0.088, 3.0
7.395650, 0.088, 1.0
7.396150, 0.088, 4.0
7.396650, 0.088, 8.0
7.397150, 0.088, 3.0
7.397650, 0.088, 3.0
7.398150, 0.088, 4.0
7.398650, 0.088, 0.0
7.399150, 0.088, 7.0
7.399650, 0.088, 3.0
7.400150, 0.088, 2.0
7.400650, 0.088, 2.0
7.401150, 0.088, 3.0
7.401650, 0.088, 2.0
7.402150, 0.088, 3.0
7.402650, 0.088, 6.0
7.403150, 0.088, 7.0
7.403650, 0.088, 1.0
7.404150, 0.088, 1.0
7.404650, 0.088, 5.0
7.405150, 0.088, 8.0
7.405650, 0.088, 0.0
7.406150, 0.088, 2.0
7.406650, 0.088, 6.0
7.407150, 0.088, 2.0
7.407650, 0.088, 6.0
7.408150, 0.088, 10.0
7.408650, 0.088, 9.0
7.409150, 0.088, 2.0
7.409650, 0.088, 9.0
7.410150, 0.088, 1.0
7.410650, 0.088, 6.0
7.411150, 0.088, 6.0
7.411650, 0.088, 5.0
7.412150, 0.088, 7.0
7.412650, 0.088, 6.0
7.413150, 0.088, 9.0
7.413650, 0.088, 3.0
7.414150, 0.088, 11.0
7.414650, 0.088, 8.0
7.415150, 0.088, 6.0
7.415650, 0.088, 5.0
7.416150, 0.088, 9.0
7.416650, 0.088, 3.0
7.417150, 0.088, 7.0
7.417650, 0.088, 13.0
7.418150, 0.088, 8.0
7.418650, 0.088, 7.0
7.419150, 0.088, 7.0
7.419650, 0.088, 6.0
7.420150, 0.088, 7.0
7.420650, 0.088, 10.0
7.421150, 0.088, 11.0
7.421650, 0.088, 8.0
7.422150, 0.088, 11.0
7.422650, 0.088, 12.0
7.423150, 0.088, 12.0
7.423650, 0.088, 10.0
7.424150, 0.088, 6.0
7.424650, 0.088, 13.0
7.425150, 0.088, 14.0
7.425650, 0.088, 11.0
7.426150, 0.088, 15.0
7.426650, 0.088, 18.0
7.427150, 0.088, 21.0
7.427650, 0.088, 15.0
7.428150, 0.088, 16.0
7.428650, 0.088, 14.0
7.429150, 0.088, 20.0
7.429650, 0.088, 12.0
7.430150, 0.088, 16.0
7.430650, 0.088, 21.0
7.431150, 0.088, 14.0
7.431650, 0.088, 16.0
7.432150, 0.088, 21.0
7.432650, 0.088, 17.0
7.433150, 0.088, 20.0
7.433650, 0.088, 21.0
7.434150, 0.088, 15.0
7.434650, 0.088, 21.0
7.435150, 0.088, 20.0
7.435650, 0.088, 28.0
7.436150, 0.088, 30.0
7.436650, 0.088, 29.0
7.437150, 0.088, 39.0
7.437650, 0.088, 16.0
7.438150, 0.088, 32.0
7.438650, 0.088, 27.0
7.439150, 0.088, 24.0
7.439650, 0.088, 28.0
7.440150, 0.088, 43.0
7.440650, 0.088, 31.0
7.441150, 0.088, 47.0
7.441650, 0.088, 34.0
7.442150, 0.088, 33.0
7.442650, 0.088, 43.0
7.443150, 0.088, 49.0
7.443650, 0.088, 50.0
7.444150, 0.088, 37.0
7.444650, 0.088, 52.0
7.445150, 0.088, 62.0
7.445650, 0.088, 50.0
7.446150, 0.088, 52.0
7.446650, 0.088, 54.0
7.447150, 0.088, 64.0
7.447650, 0.088, 69.0
7.448150, 0.088, 70.0
7.448650, 0.088, 72.0
7.449150, 0.088, 76.0
7.449650, 0.088, 80.0
7.450150, 0.088, 72.0
7.450650, 0.088, 80.0
7.451150, 0.088, 80.0
7.451650, 0.088, 101.0
7.452150, 0.088, 103.0
7.452650, 0.088, 108.0
7.453150, 0.088, 99.0
7.453650, 0.088, 103.0
7.454150, 0.088, 132.0
7.454650, 0.088, 111.0
7.455150, 0.088, 157.0
7.455650, 0.088, 154.0
7.456150, 0.088, 165.0
7.456650, 0.088, 196.0
7.457150, 0.088, 183.0
7.457650, 0.088, 210.0
7.458150, 0.088, 248.0
7.458650, 0.088, 229.0
7.459150, 0.088, 272.0
7.459650, 0.088, 337.0
7.460150, 0.088, 399.0
7.460650, 0.088, 458.0
7.461150, 0.088, 513.0
7.461650, 0.088, 661.0
7.462150, 0.088, 806.0
7.462650, 0.088, 1155.0
7.463150, 0.088, 1644.0
7.463650, 0.088, 2424.0
7.464150, 0.088, 3504.0
7.464650, 0.088, 4402.0
7.465150, 0.088, 5062.0
7.465650, 0.088, 5216.0
7.466150, 0.088, 5198.0
7.466650, 0.088, 5017.0
7.467150, 0.088, 4323.0
7.467650, 0.088, 3721.0
7.468150, 0.088, 2902.0
7.468650, 0.088, 2326.0
7.469150, 0.088, 1673.0
7.469650, 0.088, 1260.0
7.470150, 0.088, 930.0
7.470650, 0.088, 766.0
7.471150, 0.088, 668.0
7.471650, 0.088, 560.0
7.472150, 0.088, 489.0
7.472650, 0.088, 403.0
7.473150, 0.088, 402.0
7.473650, 0.088, 312.0
7.474150, 0.088, 274.0
7.474650, 0.088, 306.0
7.475150, 0.088, 268.0
7.475650, 0.088, 230.0
7.476150, 0.088, 233.0
7.476650, 0.088, 204.0
7.477150, 0.088, 205.0
7.477650, 0.088, 211.0
7.478150, 0.088, 172.0
7.478650, 0.088, 156.0
7.479150, 0.088, 144.0
7.479650, 0.088, 162.0
7.480150, 0.088, 116.0
7.480650, 0.088, 133.0
7.481150, 0.088, 120.0
7.481650, 0.088, 108.0
7.482150, 0.088, 99.0
7.482650, 0.088, 98.0
7.483150, 0.088, 92.0
7.483650, 0.088, 63.0
7.484150, 0.088, 75.0
7.484650, 0.088, 71.0
7.485150, 0.088, 60.0
7.485650, 0.088, 55.0
7.486150, 0.088, 46.0
7.486650, 0.088, 62.0
7.487150, 0.088, 48.0
7.487650, 0.088, 44.0
7.488150, 0.088, 39.0
7.488650, 0.088, 37.0
7.489150, 0.088, 33.0
7.489650, 0.088, 32.0
7.490150, 0.088, 28.0
7.490650, 0.088, 42.0
7.491150, 0.088, 31.0
7.491650, 0.088, 33.0
7.492150, 0.088, 30.0
7.492650, 0.088, 22.0
7.493150, 0.088, 26.0
7.493650, 0.088, 25.0
7.494150, 0.088, 24.0
7.494650, 0.088, 21.0
7.495150, 0.088, 19.0
7.495650, 0.088, 23.0
7.496150, 0.088, 24.0
7.496650, 0.088, 28.0
7.497150, 0.088, 17.0
7.497650, 0.088, 11.0
7.498150, 0.088, 12.0
7.498650, 0.088, 19.0
7.499150, 0.088, 10.0
7.499650, 0.088, 13.0
7.500150, 0.088, 11.0
7.500650, 0.088, 10.0
7.501150, 0.088, 4.0
7.501650, 0.088, 16.0
7.502150, 0.088, 12.0
7.502650, 0.088, 15.0
7.503150, 0.088, 12.0
7.503650, 0.088, 11.0
7.504150, 0.088, 6.0
7.504650, 0.088, 11.0
7.505150, 0.088, 13.0
7.505650, 0.088, 10.0
7.506150, 0.088, 11.0
7.506650, 0.088, 2.0
7.507150, 0.088, 4.0
7.507650, 0.088, 10.0
7.508150, 0.088, 7.0
7.508650, 0.088, 9.0
7.509150, 0.088, 6.0
7.509650, 0.088, 7.0
7.510150, 0.088, 6.0
7.510650, 0.088, 6.0
7.511150, 0.088, 2.0
7.511650, 0.088, 7.0
7.512150, 0.088, 3.0
7.512650, 0.088, 7.0
7.513150, 0.088, 0.0
7.513650, 0.088, 7.0
7.514150, 0.088, 4.0
7.514650, 0.088, 8.0
7.515150, 0.088, 8.0
7.515650, 0.088, 4.0
7.516150, 0.088, 0.0
7.516650, 0.088, 4.0
7.517150, 0.088, 3.0
7.517650, 0.088, 5.0
7.518150, 0.088, 7.0
7.518650, 0.088, 5.0
7.519150, 0.088, 5.0
7.519650, 0.088, 3.0
7.520150, 0.088, 4.0
7.520650, 0.088, 3.0
7.521150, 0.088, 4.0
7.521650, 0.088, 0.0
7.522150, 0.088, 5.0
7.522650, 0.088, 2.0
7.523150, 0.088, 5.0
7.523650, 0.088, 4.0
7.524150, 0.088, 1.0
7.524650, 0.088, 2.0
7.525150, 0.088, 2.0
7.525650, 0.088, 1.0
7.526150, 0.088, 2.0
7.526650, 0.088, 2.0
7.527150, 0.088, 3.0
7.527650, 0.088, 4.0
7.528150, 0.088, 1.0
7.528650, 0.088, 6.0
7.529150, 0.088, 2.0
7.529650, 0.088, 2.0
7.530150, 0.088, 2.0
7.530650, 0.088, 5.0
7.531150, 0.088, 0.0
7.531650, 0.088, 4.0
7.532150, 0.088, 3.0
7.532650, 0.088, 5.0
7.533150, 0.088, 4.0
7.533650, 0.088, 2.0
7.534150, 0.088, 1.0
7.534650, 0.088, 2.0
7.535150, 0.088, 2.0
7.535650, 0.088, 4.0
7.536150, 0.088, 2.0
7.536650, 0.088, 2.0
7.537150, 0.088, 2.0
7.537650, 0.088, 3.0
7.538150, 0.088, 5.0
7.538650, 0.088, 1.0
7.539150, 0.088, 5.0
7.539650, 0.088, 4.0
7.540150, 0.088, 0.0
7.540650, 0.088, 2.0
7.541150, 0.088, 2.0
7.541650, 0.088, 2.0
7.542150, 0.088, 3.0
7.542650, 0.088, 1.0
7.543150, 0.088, 3.0
7.543650, 0.088, 1.0
7.544150, 0.088, 0.0
7.544650, 0.088, 2.0
7.545150, 0.088, 2.0
7.545650, 0.088, 1.0
7.546150, 0.088, 3.0
7.546650, 0.088, 2.0
7.547150, 0.088, 2.0
7.547650, 0.088, 1.0
7.548150, 0.088, 1.0
7.548650, 0.088, 4.0
7.549150, 0.088, 0.0
7.549650, 0.088, 2.0
7.550150, 0.088, 2.0
7.550650, 0.088, 2.0
7.551150, 0.088, 1.0
7.551650, 0.088, 2.0
7.552150, 0.088, 5.0
7.552650, 0.088, 1.0
7.553150, 0.088, 2.0
7.553650, 0.088, 0.0
7.554150, 0.088, 1.0
7.554650, 0.088, 0.0
7.555150, 0.088, 3.0
7.555650, 0.088, 2.0
7.556150, 0.088, 4.0
7.556650, 0.088, 4.0
7.557150, 0.088, 2.0
7.557650, 0.088, 1.0
7.558150, 0.088, 1.0
7.558650, 0.088, 4.0
7.559150, 0.088, 1.0
7.559650, 0.088, 2.0
7.560150, 0.088, 0.0
7.560650, 0.088, 0.0
7.561150, 0.088, 4.0
7.561650, 0.088, 1.0
7.562150, 0.088, 0.0
7.562650, 0.088, 1.0
7.563150, 0.088, 2.0
7.563650, 0.088, 1.0
7.564150, 0.088, 0.0
7.564650, 0.088, 1.0
7.565150, 0.088, 1.0
7.565650, 0.088, 2.0
7.566150, 0.088, 0.0
7.566650, 0.088, 1.0
7.567150, 0.088, 0.0
7.567650, 0.088, 1.0
7.568150, 0.088, 0.0
7.568650, 0.088, 0.0
7.569150, 0.088, 1.0
7.569650, 0.088, 0.0
7.570150, 0.088, 0.0
7.570650, 0.088, 0.0
7.571150, 0.088, 2.0
7.571650, 0.088, 3.0
7.572150, 0.088, 3.0
7.572650, 0.088, 0.0
7.573150, 0.088, 1.0
7.573650, 0.088, 0.0
7.574150, 0.088, 0.0
7.574650, 0.088, 0.0
7.575150, 0.088, 0.0
7.575650, 0.088, 2.0
7.576150, 0.088, 4.0
7.576650, 0.088, 0.0
7.577150, 0.088, 0.0
7.577650, 0.088, 1.0
7.578150, 0.088, 0.0
7.578650, 0.088, 0.0
7.579150, 0.088, 5.0
7.579650, 0.088, 0.0
7.580150, 0.088, 3.0
7.580650, 0.088, 2.0
7.581150, 0.088, 1.0
7.581650, 0.088, 3.0
7.582150, 0.088, 1.0
7.582650, 0.088, 0.0
7.583150, 0.088, 1.0
7.583650, 0.088, 1.0
7.584150, 0.088, 2.0
7.584650, 0.088, 0.0
7.585150, 0.088, 2.0
7.585650, 0.088, 1.0
7.586150, 0.088, 1.0
7.586650, 0.088, 1.0
7.587150, 0.088, 0.0
7.587650, 0.088, 0.0
7.588150, 0.088, 0.0
7.588650, 0.088, 0.0
7.589150, 0.088, 1.0
7.589650, 0.088, 0.0
7.590150, 0.088, 2.0
7.590650, 0.088, 1.0
7.591150, 0.088, 0.0
7.591650, 0.088, 1.0
7.592150, 0.088, 0.0
7.592650, 0.088, 1.0
7.593150, 0.088, 0.0
7.593650, 0.088, 0.0
7.594150, 0.088, 1.0
7.594650, 0.088, 0.0
7.595150, 0.088, 0.0
7.595650, 0.088, 0.0
7.596150, 0.088, 1.0
7.596650, 0.088, 0.0
7.597150, 0.088, 0.0
7.597650, 0.088, 0.0
7.598150, 0.088, 0.0
7.598650, 0.088, 0.0
7.599150, 0.088, 1.0
7.599650, 0.088, 0.0
7.600150, 0.088, 0.0
7.600650, 0.088, 0.0
7.601150, 0.088, 1.0
7.601650, 0.088, 0.0
7.602150, 0.088, 0.0
7.602650, 0.088, 0.0
7.603150, 0.088, 0.0
7.603650, 0.088, 1.0
7.604150, 0.088, 1.0
7.604650, 0.088, 1.0
7.605150, 0.088, 0.0
7.605650, 0.088, 0.0
7.606150, 0.088, 0.0
7.606650, 0.088, 1.0
7.607150, 0.088, 0.0
7.607650, 0.088, 3.0
7.608150, 0.088, 0.0
7.608650, 0.088, 0.0
7.609150, 0.088, 2.0
7.609650, 0.088, 0.0
7.610150, 0.088, 0.0
7.610650, 0.088, 1.0
7.611150, 0.088, 0.0
7.611650, 0.088, 0.0
7.612150, 0.088, 0.0
7.612650, 0.088, 1.0
7.613150, 0.088, 1.0
7.613650, 0.088, 0.0
7.614150, 0.088, 1.0
7.614650, 0.088, 0.0
7.615150, 0.088, 0.0
7.615650, 0.088, 3.0
7.616150, 0.088, 2.0
7.616650, 0.088, 1.0
7.617150, 0.088, 0.0
7.617650, 0.088, 3.0
7.618150, 0.088, 1.0
7.618650, 0.088, 1.0
7.619150, 0.088, 0.0
7.619650, 0.088, 0.0
7.620150, 0.088, 0.0
7.620650, 0.088, 1.0
7.621150, 0.088, 0.0
7.621650, 0.088, 0.0
7.622150, 0.088, 0.0
7.622650, 0.088, 0.0
7.623150, 0.088, 0.0
7.623650, 0.088, 1.0
7.624150, 0.088, 0.0
7.624650, 0.088, 0.0
7.625150, 0.088, 0.0
7.625650, 0.088, 2.0
7.626150, 0.088, 0.0
