,Area
0,51.96
1,52.0
2,52.34
3,52.18
4,52.28
5,52.0
6,52.33
7,52.38
8,52.02
9,52.0
10,52.19
11,52.34
12,52.18
13,51.94
14,52.2
15,52.14
16,52.04
17,52.1
18,52.28
19,52.07
20,52.1
21,52.34
22,52.28
23,52.41
24,51.92
25,52.21
26,52.36
27,52.04
28,52.07
29,51.86
30,52.1
31,52.13
32,52.28
33,52.28
34,52.0
35,52.05
36,52.31
37,52.03
38,52.22
39,52.19
40,52.24
41,52.18
42,52.14
43,52.32
44,52.0
45,52.23
46,52.11
47,52.05
48,51.91
49,52.34
50,52.1
51,52.38
52,51.95
53,52.04
54,52.0
55,51.75
56,52.16
57,52.01
58,51.96
59,52.18
60,52.3
61,52.06
62,52.03
63,51.98
64,51.92
65,52.26
66,52.1
67,52.28
68,51.8
69,52.16
70,51.89
