,Area
0,0.42
1,0.48
2,0.42
3,0.34
4,0.37
5,0.44
6,0.44
7,0.41
8,0.35
9,0.41
10,0.42
11,0.42
12,0.4
13,0.4
14,0.42
15,0.42
16,0.4
17,0.39
18,0.37
19,0.38
20,0.28
21,0.38
22,0.36
23,0.4
24,0.39
25,0.41
26,0.38
27,0.37
28,0.4
29,0.36
30,0.37
31,0.42
32,0.35
33,0.42
34,0.37
35,0.37
36,0.4
37,0.38
38,0.38
39,0.37
40,0.41
41,0.42
42,0.4
43,0.39
44,0.37
45,0.4
46,0.39
47,0.39
48,0.36
49,0.38
50,0.4
51,0.33
52,0.37
53,0.4
54,0.41
55,0.34
56,0.34
57,0.31
58,0.37
59,0.34
60,0.37
61,0.34
62,0.38
63,0.25
64,0.38
65,0.37
66,0.36
67,0.34
68,0.4
69,0.34
70,0.38
