Time (s),Current (A),Voltage (V)
0.7870145000000548,-8.71888e-09,-2.339889
1.2215999999999667,-8.437716e-09,-2.339888
1.7288438000000497,-8.244452e-09,-2.33989
2.2302389000000176,-8.11829e-09,-2.339894
2.74520270000005,-8.023419e-09,-2.339892
3.2605850999999575,-7.949875e-09,-2.339884
3.775880499999971,-7.891945e-09,-2.33989
4.28092079999999,-7.844382e-09,-2.339895
4.784565599999951,-7.804849e-09,-2.339893
5.284320800000046,-7.770744e-09,-2.339887
5.789448200000038,-7.742862e-09,-2.339888
6.294450100000063,-7.715268e-09,-2.339889
6.798669000000018,-7.692108e-09,-2.339898
7.300364700000046,-7.671432e-09,-2.339897
7.803333400000042,-7.652898e-09,-2.339899
8.309218999999985,-7.636226e-09,-2.339901
8.823250700000017,-7.620741e-09,-2.339909
9.326074199999994,-7.606415e-09,-2.3399
9.829355899999996,-7.593043e-09,-2.339903
10.338127900000018,-7.581192e-09,-2.3399
10.840710100000024,-7.570049e-09,-2.339899
11.343454800000018,-7.558981e-09,-2.3399
11.84600869999997,-7.548731e-09,-2.339901
12.360639800000058,-7.538911e-09,-2.339898
12.86078580000003,-7.530566e-09,-2.339905
13.368446199999994,-7.521042e-09,-2.339902
13.87298510000005,-7.512329e-09,-2.339901
14.378043000000048,-7.505237e-09,-2.339898
14.881832400000008,-7.497484e-09,-2.339898
15.381969199999958,-7.490132e-09,-2.339897
15.884527700000035,-7.483539e-09,-2.339897
16.385061500000006,-7.476861e-09,-2.339895
16.88767680000001,-7.470431e-09,-2.339895
17.388878500000033,-7.46465e-09,-2.339894
17.892001700000037,-7.458607e-09,-2.339893
18.39486499999998,-7.454046e-09,-2.339899
18.910630500000025,-7.447153e-09,-2.339891
19.424711799999955,-7.442946e-09,-2.339894
19.941839999999956,-7.438406e-09,-2.339895
20.445683400000007,-7.432395e-09,-2.339887
20.94640460000005,-7.428397e-09,-2.339889
21.451517500000023,-7.423799e-09,-2.339897
21.957147599999985,-7.419724e-09,-2.339896
22.459280199999966,-7.415919e-09,-2.339902
22.962542999999982,-7.411593e-09,-2.339897
23.479498300000046,-7.407626e-09,-2.339902
23.980196200000023,-7.403342e-09,-2.339899
24.48218870000005,-7.40037e-09,-2.339895
24.98525600000005,-7.396324e-09,-2.339898
25.500476100000014,-7.394498e-09,-2.339902
26.002562600000033,-7.39022e-09,-2.339895
26.504293299999972,-7.386003e-09,-2.339898
27.0073175,-7.383396e-09,-2.339894
27.509105800000043,-7.379941e-09,-2.339906
28.024303400000008,-7.377445e-09,-2.339899
28.539092900000014,-7.374241e-09,-2.3399
29.04063050000002,-7.37241e-09,-2.3399
29.54080209999995,-7.368643e-09,-2.339901
30.041369300000042,-7.366376e-09,-2.339899
30.5569074,-7.364113e-09,-2.339906
31.06121280000002,-7.361789e-09,-2.339911
31.56295309999996,-7.358593e-09,-2.339901
32.063152100000025,-7.356854e-09,-2.339912
32.56783989999997,-7.354111e-09,-2.339901
33.069817599999965,-7.351268e-09,-2.339904
33.57482360000006,-7.350127e-09,-2.339898
34.08064390000004,-7.346981e-09,-2.339892
34.585994700000015,-7.34551e-09,-2.339888
35.088210799999956,-7.343785e-09,-2.339897
35.6035799,-7.341691e-09,-2.339898
36.107674299999985,-7.339475e-09,-2.3399
36.60867519999999,-7.337544e-09,-2.339894
37.1116528,-7.335979e-09,-2.3399
37.613112,-7.333632e-09,-2.339905
38.11661920000006,-7.330991e-09,-2.339905
38.620693200000005,-7.329713e-09,-2.339906
39.12580300000002,-7.328602e-09,-2.339909
39.62760539999999,-7.326391e-09,-2.339912
40.13402980000001,-7.32498e-09,-2.339914
40.640668000000005,-7.322743e-09,-2.33991
41.14082240000005,-7.321226e-09,-2.339918
41.65559919999998,-7.319652e-09,-2.339911
42.17062610000005,-7.318016e-09,-2.339912
42.672298299999966,-7.316675e-09,-2.339917
43.17653459999997,-7.314458e-09,-2.339912
43.68016030000001,-7.313583e-09,-2.339915
44.185156000000006,-7.311632e-09,-2.339913
44.68970020000006,-7.310043e-09,-2.33991
45.195304599999986,-7.309204e-09,-2.339905
45.70023309999999,-7.308005e-09,-2.339907
46.20360860000005,-7.3063e-09,-2.339906
46.70457139999996,-7.305022e-09,-2.339908
47.207049600000005,-7.303657e-09,-2.339908
47.71315430000004,-7.30221e-09,-2.339908
48.24904760000004,-7.300891e-09,-2.339909
48.75481449999995,-7.2994e-09,-2.339912
49.26895430000002,-7.297921e-09,-2.339905
49.77798470000005,-7.297535e-09,-2.339909
50.27719980000006,-7.2968e-09,-2.339907
50.77923720000001,-7.294808e-09,-2.339907
51.287016900000026,-7.29233e-09,-2.339904
51.80116010000006,-7.292394e-09,-2.339904
52.31253519999996,-7.290887e-09,-2.339907
52.83177910000006,-7.289507e-09,-2.339904
53.34247159999995,-7.287662e-09,-2.339904
53.844659699999966,-7.287146e-09,-2.339904
54.34665689999997,-7.286234e-09,-2.339901
54.84914549999996,-7.284904e-09,-2.339904
55.354300100000046,-7.283955e-09,-2.339902
55.85541760000001,-7.282594e-09,-2.339904
56.371355600000015,-7.281621e-09,-2.339898
56.87227589999998,-7.280556e-09,-2.339892
