Created as New Dataset, , 
nm, %T, 
511.0, -0.06, 
510.0, -0.32, 
509.0, -0.65, 
508.0, -0.52, 
507.0, -0.40, 
506.0, -0.28, 
505.0, -0.51, 
504.0, -0.50, 
503.0, -0.33, 
502.0, -0.82, 
501.0, -0.35, 
500.0, -0.66, 
499.0, -0.68, 
498.0, -0.23, 
497.0, -0.43, 
496.0, -0.50, 
495.0, -0.53, 
494.0, -0.61, 
493.0, -0.51, 
492.0, -0.27, 
491.0, -0.38, 
490.0, -0.10, 
489.0, -0.04, 
488.0, -0.15, 
487.0, 0.15, 
486.0, 0.39, 
485.0, 0.12, 
484.0, 0.28, 
483.0, 0.05, 
482.0, 0.68, 
481.0, 0.48, 
480.0, 0.61, 
479.0, 0.64, 
478.0, 0.35, 
477.0, 0.21, 
476.0, 0.26, 
475.0, -0.02, 
474.0, 0.33, 
473.0, 0.48, 
472.0, 0.08, 
471.0, 0.00, 
470.0, 0.03, 
469.0, 0.21, 
468.0, 0.14, 
467.0, 0.19, 
466.0, 0.18, 
465.0, 0.00, 
464.0, 0.03, 
463.0, -0.20, 
462.0, -0.39, 
461.0, -0.44, 
460.0, -0.33, 
459.0, -0.17, 
458.0, -0.42, 
457.0, -0.58, 
456.0, -0.81, 
455.0, -0.56, 
454.0, -0.18, 
453.0, -0.34, 
452.0, -0.36, 
451.0, -0.29, 
450.0, -0.45, 
449.0, -0.35, 
448.0, -0.45, 
447.0, -0.43, 
446.0, -0.52, 
445.0, -0.07, 
444.0, -0.09, 
443.0, -0.19, 
442.0, -0.07, 
441.0, -0.21, 
440.0, -0.13, 
439.0, -0.04, 
438.0, 0.14, 
437.0, 0.19, 
436.0, 0.13, 
435.0, -0.26, 
434.0, -0.37, 
433.0, -0.14, 
432.0, -0.09, 
431.0, -0.34, 
430.0, -0.31, 
429.0, -0.23, 
428.0, -0.08, 
427.0, -0.15, 
426.0, -0.11, 
425.0, 0.10, 
424.0, -0.11, 
423.0, -0.14, 
422.0, -0.01, 
421.0, 0.23, 
420.0, 0.20, 
419.0, -0.22, 
418.0, -0.20, 
417.0, -0.20, 
416.0, -0.30, 
415.0, -0.22, 
414.0, -0.34, 
413.0, -0.54, 
412.0, -0.40, 
411.0, 0.19, 
410.0, 0.01, 
409.0, -0.27, 
408.0, 0.03, 
407.0, -0.26, 
406.0, -0.33, 
405.0, 0.07, 
404.0, -0.22, 
403.0, -0.24, 
402.0, -0.03, 
401.0, -0.27, 
400.0, -0.28, 
